地区,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992
山东省,8.74E+12,8.29E+12,7.28E+12,7.05E+12,6.66E+12,6.30E+12,5.88E+12,5.53E+12,5.08E+12,4.73E+12,4.30E+12,3.91E+12,3.39E+12,2.95E+12,2.71E+12,2.27E+12,1.90E+12,1.59E+12,1.33E+12,1.09E+12,1.01E+12,9.08E+11,8.28E+11,7.49E+11,7.02E+11,6.54E+11,5.88E+11,4.95E+11,3.84E+11,2.77E+11,2.20E+11
河南省,6.13E+12,5.81E+12,5.43E+12,5.37E+12,4.99E+12,4.48E+12,4.02E+12,3.71E+12,3.46E+12,3.16E+12,2.90E+12,2.63E+12,2.27E+12,1.92E+12,1.77E+12,1.48E+12,1.20E+12,1.02E+12,8.41E+11,6.94E+11,6.04E+11,5.53E+11,5.05E+11,4.52E+11,4.31E+11,4.04E+11,3.63E+11,2.99E+11,2.22E+11,1.66E+11,1.28E+11
湖北省,5.37E+12,5.01E+12,4.30E+12,4.54E+12,4.20E+12,3.72E+12,3.34E+12,3.03E+12,2.82E+12,2.54E+12,2.25E+12,1.98E+12,1.61E+12,1.31E+12,1.14E+12,9.40E+11,7.53E+11,6.47E+11,5.55E+11,4.76E+11,4.21E+11,3.88E+11,3.55E+11,3.23E+11,3.11E+11,2.86E+11,2.50E+11,2.11E+11,1.70E+11,1.33E+11,1.09E+11
湖南省,4.87E+12,4.57E+12,4.15E+12,3.99E+12,3.63E+12,3.38E+12,3.09E+12,2.85E+12,2.59E+12,2.35E+12,2.12E+12,1.89E+12,1.56E+12,1.28E+12,1.13E+12,9.29E+11,7.43E+11,6.37E+11,5.54E+11,4.66E+11,4.15E+11,3.83E+11,3.55E+11,3.21E+11,3.03E+11,2.85E+11,2.54E+11,2.13E+11,1.65E+11,1.24E+11,98698000000
广东省,1.29E+13,1.25E+13,1.11E+13,1.08E+13,9.99E+12,9.16E+12,8.22E+12,7.47E+12,6.82E+12,6.25E+12,5.70E+12,5.31E+12,4.59E+12,3.95E+12,3.67E+12,3.17E+12,2.60E+12,2.20E+12,1.87E+12,1.60E+12,1.36E+12,1.21E+12,1.08E+12,9.29E+11,8.56E+11,7.79E+11,6.85E+11,5.94E+11,4.62E+11,3.47E+11,2.45E+11
广西壮族自治区,2.63E+12,2.52E+12,2.21E+12,2.12E+12,1.96E+12,1.78E+12,1.61E+12,1.48E+12,1.36E+12,1.24E+12,1.13E+12,1.03E+12,8.55E+11,7.11E+11,6.46E+11,5.47E+11,4.42E+11,3.74E+11,3.31E+11,2.80E+11,2.52E+11,2.28E+11,2.08E+11,1.97E+11,1.91E+11,1.82E+11,1.70E+11,1.50E+11,1.20E+11,87170000000,64660000000
海南省,6.82E+11,6.50E+11,5.57E+11,5.33E+11,4.91E+11,4.50E+11,4.09E+11,3.73E+11,3.45E+11,3.12E+11,2.79E+11,2.46E+11,2.02E+11,1.62E+11,1.47E+11,1.23E+11,1.03E+11,88487000000,80268000000,71396000000,64274000000,57918000000,52682000000,47668000000,44212000000,41116000000,38968000000,36325074800,33197579800,26040828600,18491544800
重庆市,2.91E+12,2.81E+12,2.50E+12,2.36E+12,2.16E+12,2.01E+12,1.80E+12,1.60E+12,1.46E+12,1.30E+12,1.16E+12,1.02E+12,8.07E+11,6.65E+11,5.90E+11,4.77E+11,3.90E+11,3.45E+11,3.06E+11,2.62E+11,2.28E+11,2.01E+11,1.82E+11,1.69E+11,1.62E+11,1.53E+11,1.33E+11,1.13E+11,83814000000,61105000000,46247000000
四川省,5.67E+12,5.41E+12,4.85E+12,4.64E+12,4.29E+12,3.79E+12,3.31E+12,3.03E+12,2.89E+12,2.65E+12,2.39E+12,2.11E+12,1.72E+12,1.42E+12,1.28E+12,1.06E+12,8.49E+11,7.20E+11,6.30E+11,5.35E+11,4.73E+11,4.29E+11,3.93E+11,3.65E+11,3.47E+11,3.24E+11,2.87E+11,2.44E+11,2.00E+11,1.49E+11,1.18E+11
贵州省,2.02E+12,1.95E+12,1.79E+12,1.68E+12,1.54E+12,1.36E+12,1.18E+12,1.05E+12,9.17E+11,7.97E+11,6.74E+11,5.62E+11,4.52E+11,3.86E+11,3.50E+11,2.85E+11,2.26E+11,1.94E+11,1.65E+11,1.43E+11,1.24E+11,1.13E+11,1.03E+11,93750000000,85839000000,80579000000,72318000000,63621000000,52446000000,41769000000,33991000000
云南省,2.90E+12,2.72E+12,2.46E+12,2.32E+12,2.09E+12,1.85E+12,1.64E+12,1.50E+12,1.40E+12,1.28E+12,1.11E+12,9.52E+11,7.74E+11,6.57E+11,6.02E+11,5.08E+11,4.09E+11,3.50E+11,3.14E+11,2.63E+11,2.36E+11,2.16E+11,2.03E+11,1.90E+11,1.83E+11,1.68E+11,1.52E+11,1.22E+11,98378000000,78327000000,61869000000
西藏自治区,2.13E+11,2.08E+11,1.90E+11,1.70E+11,1.55E+11,1.35E+11,1.17E+11,1.04E+11,93974000000,82820000000,71016000000,61152000000,51287000000,44567000000,39819000000,34410000000,28585000000,24309000000,21793000000,18597000000,16204000000,13916000000,11780000000,10598000000,9150000000,7724000000,6498000000,5611485400,4598688900,3741933800,3329000000
陕西省,3.28E+12,3.01E+12,2.60E+12,2.58E+12,2.39E+12,2.15E+12,1.90E+12,1.79E+12,1.74E+12,1.59E+12,1.41E+12,1.22E+12,9.85E+11,8.00E+11,7.18E+11,5.68E+11,4.60E+11,3.82E+11,3.14E+11,2.59E+11,2.25E+11,2.01E+11,1.80E+11,1.59E+11,1.46E+11,1.36E+11,1.22E+11,1.04E+11,83903000000,67820000000,53163000000
甘肃省,1.12E+12,1.02E+12,8.98E+11,8.72E+11,8.10E+11,7.34E+11,6.91E+11,6.56E+11,6.52E+11,6.01E+11,5.39E+11,4.82E+11,3.94E+11,3.27E+11,3.07E+11,2.68E+11,2.20E+11,1.86E+11,1.65E+11,1.40E+11,1.23E+11,1.13E+11,1.05E+11,95632000000,88767000000,79357000000,72252000000,55776360000,45360790000,37224000000,31779000000
青海省,3.61E+11,3.39E+11,3.01E+11,2.94E+11,2.75E+11,2.47E+11,2.26E+11,2.01E+11,1.85E+11,1.71E+11,1.53E+11,1.37E+11,1.14E+11,93969700000,89685980000,72005750000,58514530000,49941700000,44373100000,38500000000,34064752200,30012521000,26368000000,23938000000,22092000000,20279000000,18417000000,16779826000,13839686100,10967891600,8752000000
宁夏回族自治区,5.07E+11,4.59E+11,3.96E+11,3.75E+11,3.51E+11,3.20E+11,2.78E+11,2.58E+11,2.47E+11,2.33E+11,2.13E+11,1.93E+11,1.57E+11,1.27E+11,1.14E+11,87759000000,68328000000,57989000000,51992000000,44261000000,37715519500,33744467200,29502000000,26458000000,24545000000,22459000000,20291000000,17519000000,13626000000,10449000000,8314000000
新疆维吾尔自治区,1.77E+12,1.63E+12,1.38E+12,1.36E+12,1.28E+12,1.12E+12,9.63E+11,9.31E+11,9.26E+11,8.39E+11,7.41E+11,6.53E+11,5.36E+11,4.24E+11,4.14E+11,3.50E+11,2.96E+11,2.52E+11,2.17E+11,1.89E+11,1.61E+11,1.49E+11,1.36E+11,1.16E+11,1.11E+11,1.04E+11,90093000000,81485000000,66232000000,49525000000,40231000000
