numsampled,0.97,lci,hci
1,0,0,0
100,3.3258,2.9405,3.6208
200,3.6188,3.3218,3.9032
300,3.7519,3.5328,3.9877
400,3.8337,3.661,3.9915
500,3.8871,3.6963,4.0337
600,3.9239,3.735,4.0816
700,3.9562,3.7755,4.1017
800,3.9767,3.814,4.1305
900,3.9996,3.8615,4.1331
1000,4.0153,3.8747,4.1376
1100,4.0319,3.9108,4.1618
1200,4.043,3.9246,4.1537
1300,4.0542,3.9499,4.1635
1400,4.0627,3.9482,4.1665
1500,4.0681,3.9729,4.1744
1600,4.0735,3.971,4.1724
1700,4.0796,3.9774,4.1731
1800,4.0877,3.9848,4.1796
1900,4.0938,3.9812,4.1818
2000,4.096,3.9936,4.1858
2100,4.1006,3.9983,4.1793
2200,4.1073,4.0008,4.1871
2300,4.1111,4.0195,4.1813
2400,4.117,4.029,4.1971
2500,4.1208,4.0356,4.2028
2600,4.1246,4.048,4.2005
2700,4.1271,4.0351,4.2045
2800,4.1319,4.047,4.214
2900,4.1359,4.0508,4.2233
3000,4.1381,4.0485,4.2224
3100,4.1408,4.0532,4.2231
3200,4.144,4.0644,4.2164
3300,4.1468,4.0661,4.2218
3400,4.1501,4.0649,4.2241
3500,4.1523,4.0666,4.2216
3600,4.1545,4.072,4.2238
3700,4.1563,4.0764,4.215
3800,4.1573,4.0835,4.218
3900,4.1595,4.0816,4.2172
4000,4.1613,4.0852,4.2231
4100,4.1631,4.0872,4.2214
4200,4.165,4.0945,4.2251
4300,4.1658,4.0966,4.2252
4400,4.1673,4.104,4.2224
4500,4.1679,4.1079,4.2242
4600,4.1689,4.1063,4.2296
4700,4.1708,4.1127,4.2294
4800,4.1721,4.1145,4.2285
4900,4.1729,4.1146,4.2282
5000,4.1751,4.1121,4.2346
5100,4.1767,4.1131,4.2343
5200,4.1783,4.1208,4.2329
5300,4.1794,4.1242,4.2339
5400,4.1805,4.1228,4.2423
5500,4.182,4.1283,4.2437
5600,4.1833,4.127,4.2443
5700,4.1843,4.1252,4.2507
5800,4.1853,4.124,4.2446
5900,4.1866,4.1249,4.245
6000,4.187,4.1276,4.2542
6100,4.1875,4.129,4.2511
6200,4.1877,4.133,4.2469
6300,4.1886,4.1332,4.2503
6400,4.1892,4.1339,4.2494
6500,4.1899,4.1391,4.2493
6600,4.1904,4.1414,4.2524
6700,4.1913,4.1396,4.2527
6800,4.192,4.1382,4.252
6900,4.1927,4.1391,4.2544
7000,4.1934,4.1431,4.2566
7100,4.1942,4.1416,4.2577
7200,4.1947,4.1452,4.2546
7300,4.1951,4.1474,4.2516
7400,4.1956,4.1505,4.2502
7500,4.1956,4.1506,4.2489
7600,4.1961,4.15,4.2467
7700,4.197,4.1522,4.2474
7800,4.1978,4.1521,4.2463
7900,4.1983,4.1548,4.2466
8000,4.1988,4.1553,4.2477
8100,4.1993,4.1557,4.2472
8200,4.1999,4.1535,4.2514
8300,4.2006,4.1587,4.2476
8400,4.2013,4.1588,4.247
8500,4.2015,4.1597,4.2488
8600,4.2025,4.1608,4.2544
8700,4.203,4.1608,4.2543
8800,4.2032,4.1607,4.251
8900,4.2042,4.1613,4.2525
9000,4.2043,4.1606,4.2536
9100,4.2046,4.1616,4.2515
9200,4.205,4.1618,4.2515
9300,4.2053,4.1633,4.2554
9400,4.2055,4.1663,4.2569
9500,4.2058,4.1636,4.2564
9600,4.2064,4.1647,4.258
9700,4.2067,4.1646,4.2594
9800,4.2074,4.1675,4.2578
9900,4.2079,4.1692,4.2609
10000,4.2084,4.1672,4.262
10100,4.2088,4.1691,4.2623
10200,4.2095,4.1716,4.2618
10300,4.2097,4.1676,4.2635
10400,4.2104,4.1698,4.2609
10500,4.2108,4.1682,4.2577
10600,4.211,4.1696,4.2521
10700,4.211,4.1695,4.2563
10800,4.2115,4.1694,4.2565
10900,4.2119,4.1681,4.2544
11000,4.2122,4.1683,4.2535
11100,4.2127,4.1666,4.2585
11200,4.213,4.1658,4.2562
11300,4.2134,4.1668,4.253
11400,4.2137,4.1688,4.2495
11500,4.2142,4.1701,4.2501
11600,4.2142,4.1723,4.2483
11700,4.2147,4.1738,4.2487
11800,4.2147,4.1714,4.2522
11900,4.2148,4.1724,4.2486
12000,4.2153,4.1741,4.2501
12100,4.2161,4.1762,4.25
12200,4.2165,4.1763,4.2503
12300,4.2167,4.1771,4.25
12400,4.2172,4.1764,4.252
12500,4.2176,4.1766,4.251
12600,4.2178,4.1772,4.2512
12700,4.2179,4.1764,4.2509
12800,4.2183,4.1781,4.2509
12900,4.2186,4.1796,4.2505
13000,4.2186,4.1827,4.2509
13100,4.2188,4.1826,4.2501
13200,4.2189,4.1838,4.2478
13300,4.2191,4.1836,4.2465
13400,4.2192,4.184,4.2458
13500,4.2195,4.1854,4.247
13600,4.2196,4.1868,4.248
13700,4.2198,4.189,4.2471
13800,4.22,4.1901,4.2476
13900,4.2204,4.1912,4.2471
14000,4.2207,4.1893,4.2468
14100,4.2212,4.189,4.2482
14200,4.2216,4.1891,4.25
14300,4.222,4.1872,4.2503
14400,4.2219,4.1864,4.2485
14500,4.222,4.1853,4.2495
14600,4.2223,4.1866,4.2491
14700,4.2225,4.1863,4.2516
14800,4.2226,4.1852,4.25
14900,4.2227,4.1879,4.2488
15000,4.2232,4.1898,4.2507
15100,4.2233,4.1921,4.2517
15200,4.2235,4.1908,4.2511
15300,4.2235,4.1924,4.2507
15400,4.2235,4.1926,4.2512
15500,4.2238,4.1933,4.251
15600,4.2241,4.1936,4.2497
15700,4.2243,4.1927,4.2494
15800,4.2243,4.1936,4.2492
15900,4.2245,4.193,4.2497
16000,4.2248,4.1913,4.2493
16100,4.2249,4.1928,4.2504
16200,4.225,4.1917,4.2502
16300,4.2251,4.1909,4.2497
16400,4.2253,4.1904,4.2493
16500,4.2254,4.1909,4.2507
16600,4.2258,4.1936,4.251
16700,4.226,4.1927,4.251
16800,4.2261,4.1891,4.2514
16900,4.2264,4.1894,4.252
17000,4.2264,4.1891,4.2509
17100,4.2265,4.19,4.2509
17200,4.2267,4.1906,4.2506
17300,4.227,4.1904,4.2515
17400,4.227,4.1903,4.2517
17500,4.2271,4.1924,4.2517
17600,4.2274,4.1947,4.2509
17700,4.2278,4.195,4.2509
17800,4.228,4.1969,4.2539
17900,4.2281,4.1968,4.2539
18000,4.2284,4.1959,4.2543
18100,4.2287,4.1953,4.2541
18200,4.2288,4.198,4.2548
18300,4.2291,4.1982,4.2557
18400,4.2291,4.1984,4.2541
18500,4.2293,4.1976,4.2562
18600,4.2294,4.1978,4.2553
18700,4.2295,4.1975,4.2536
18800,4.2297,4.1989,4.254
18900,4.2299,4.2,4.2565
19000,4.2298,4.2016,4.2568
19100,4.2303,4.2013,4.2577
19200,4.2304,4.203,4.2582
19300,4.2304,4.2028,4.2574
19400,4.2304,4.2019,4.2569
19500,4.2304,4.201,4.2559
19600,4.2306,4.2008,4.2537
19700,4.2308,4.2023,4.2536
19800,4.231,4.2025,4.2536
19900,4.2312,4.2031,4.2541
20000,4.2311,4.2035,4.2541
20100,4.2312,4.2028,4.2551
20200,4.2315,4.2024,4.2535
20300,4.2318,4.2021,4.2542
20400,4.2318,4.2017,4.2555
20500,4.2318,4.2022,4.2564
20600,4.232,4.2025,4.2548
20700,4.2321,4.2024,4.2561
20800,4.2322,4.203,4.2547
20900,4.2322,4.2038,4.2537
21000,4.2323,4.2033,4.2547
21100,4.2323,4.2037,4.2556
21200,4.2324,4.203,4.2557
21300,4.2322,4.2022,4.2548
21400,4.2324,4.202,4.2557
21500,4.2325,4.2031,4.2566
21600,4.2327,4.2037,4.2575
21700,4.2329,4.2049,4.2576
21800,4.2328,4.2062,4.2562
21900,4.2328,4.2056,4.2548
22000,4.233,4.2054,4.2554
22100,4.2331,4.2061,4.2543
22200,4.2333,4.207,4.2561
22300,4.2335,4.2069,4.256
22400,4.2338,4.2067,4.2568
22500,4.234,4.2072,4.2566
22600,4.2341,4.2061,4.2566
22700,4.2343,4.2083,4.2553
22800,4.2343,4.2065,4.2566
22900,4.2343,4.2069,4.2561
23000,4.2344,4.2057,4.2563
23100,4.2345,4.2077,4.2581
23200,4.2346,4.2091,4.2588
23300,4.2347,4.2087,4.2595
23400,4.2346,4.2098,4.2583
23500,4.2347,4.2087,4.2585
23600,4.2348,4.2091,4.2595
23700,4.2349,4.2093,4.2594
23800,4.235,4.2104,4.2588
23900,4.2351,4.21,4.2583
24000,4.2352,4.2092,4.2595
24100,4.2352,4.2093,4.2584
24200,4.2354,4.2097,4.2588
24300,4.2353,4.2082,4.2601
24400,4.2355,4.2089,4.2615
24500,4.2357,4.2077,4.2606
24600,4.2358,4.2085,4.2606
24700,4.2358,4.2104,4.2597
24800,4.236,4.2099,4.2591
24900,4.2361,4.2105,4.2598
25000,4.2361,4.2094,4.2595
25100,4.2364,4.2095,4.2576
25200,4.2364,4.2097,4.2567
25300,4.2366,4.2109,4.2572
25400,4.2367,4.211,4.2569
25500,4.2367,4.2116,4.2574
25600,4.2369,4.2129,4.2582
25700,4.2368,4.2134,4.257
25800,4.2371,4.2129,4.2584
25900,4.2371,4.2118,4.2576
26000,4.2372,4.2144,4.2585
26100,4.2373,4.2146,4.2587
26200,4.2373,4.2156,4.2585
26300,4.2373,4.2154,4.2591
26400,4.2375,4.2168,4.2575
26500,4.2377,4.2162,4.2581
26600,4.2378,4.2154,4.2587
26700,4.2378,4.2154,4.2589
26800,4.2378,4.2154,4.2597
26900,4.238,4.215,4.2597
27000,4.2381,4.2141,4.2601
27100,4.2383,4.2134,4.2593
27200,4.2383,4.2139,4.2598
27300,4.2382,4.2141,4.2585
27400,4.2381,4.2137,4.2574
27500,4.2381,4.2131,4.257
27600,4.2383,4.2125,4.2573
27700,4.2384,4.2136,4.2587
27800,4.2384,4.2134,4.2575
27900,4.2384,4.2121,4.2582
28000,4.2384,4.2124,4.2587
28100,4.2384,4.2129,4.2583
28200,4.2386,4.213,4.258
28300,4.2387,4.2136,4.2577
28400,4.2386,4.2133,4.2585
28500,4.2387,4.2147,4.2589
28600,4.2389,4.216,4.2585
28700,4.239,4.2157,4.2588
28800,4.239,4.2152,4.2577
28900,4.2391,4.2156,4.2591
29000,4.2393,4.2163,4.2583
29100,4.2393,4.2161,4.2586
29200,4.2394,4.2169,4.2585
29300,4.2396,4.2178,4.2585
29400,4.2397,4.217,4.2588
29500,4.2397,4.2165,4.2576
29600,4.2397,4.2163,4.2573
29700,4.2396,4.2165,4.2561
29800,4.2397,4.2176,4.2566
29900,4.2398,4.2184,4.2571
30000,4.2398,4.2198,4.2581
30100,4.2397,4.2193,4.257
30200,4.2397,4.2204,4.2572
30300,4.2398,4.2196,4.2561
30400,4.2398,4.219,4.2563
30500,4.2399,4.2189,4.256
30600,4.2401,4.2179,4.2575
30700,4.2402,4.2179,4.2575
30800,4.2404,4.2178,4.2572
30900,4.2404,4.2184,4.2573
31000,4.2405,4.2184,4.2573
31100,4.2407,4.218,4.2568
31200,4.2406,4.2186,4.2572
31300,4.2407,4.2185,4.2572
31400,4.2408,4.2179,4.2579
31500,4.241,4.2179,4.258
31600,4.2411,4.2191,4.2573
31700,4.2411,4.2195,4.2577
31800,4.2411,4.2194,4.2588
31900,4.2412,4.2195,4.2589
32000,4.2412,4.2201,4.2584
32100,4.2412,4.2216,4.2587
32200,4.2412,4.2211,4.2587
32300,4.2413,4.2207,4.2584
32400,4.2413,4.2212,4.2583
32500,4.2413,4.2208,4.2587
32600,4.2412,4.221,4.2601
32700,4.2411,4.2204,4.2592
32800,4.2411,4.221,4.2595
32900,4.2413,4.2215,4.2597
33000,4.2414,4.2208,4.2601
33100,4.2414,4.2213,4.2597
33200,4.2414,4.2213,4.2594
33300,4.2415,4.2199,4.2603
33400,4.2417,4.2199,4.2598
33500,4.2416,4.2195,4.2596
33600,4.2417,4.2193,4.2598
33700,4.2418,4.2199,4.2605
33800,4.2418,4.2218,4.2603
33900,4.2419,4.2219,4.2606
34000,4.2419,4.2219,4.2601
34100,4.2419,4.2215,4.2604
34200,4.2419,4.2203,4.2605
34300,4.2422,4.2198,4.2602
34400,4.2422,4.2191,4.2603
34500,4.2421,4.2183,4.2602
34600,4.2421,4.2186,4.2595
34700,4.2421,4.2187,4.26
34800,4.2421,4.2186,4.2602
34900,4.2422,4.2188,4.2605
35000,4.2424,4.2196,4.26
35100,4.2424,4.2199,4.2601
35200,4.2425,4.2204,4.261
35300,4.2425,4.2208,4.2604
35400,4.2426,4.2203,4.2607
35500,4.2427,4.2209,4.2596
35600,4.2427,4.2212,4.2598
35700,4.2428,4.2214,4.2598
35800,4.2428,4.2209,4.2605
35900,4.2429,4.2219,4.2612
36000,4.243,4.2222,4.2613
36100,4.243,4.2223,4.2623
36200,4.243,4.2214,4.2619
36300,4.243,4.2211,4.2624
36400,4.2431,4.2219,4.2622
36500,4.2431,4.2216,4.2618
36600,4.2431,4.221,4.2611
36700,4.2431,4.2211,4.2609
36800,4.2432,4.2206,4.2615
36900,4.2432,4.2206,4.2621
