numsampled,0.97,lci,hci
1,1,1,1
100,45.03,37,54
200,72.89,62,82
300,93.09,83,104
400,110.24,101,121
500,124.02,112,134
600,136.76,125,148
700,148.92,136,160
800,159.48,147,172
900,169.18,154,181
1000,178.72,161,193
1100,187.63,171,201
1200,195.75,177,210
1300,203.89,183,217
1400,211.52,191,227
1500,218.73,198,237
1600,226.08,204,244
1700,232.75,209,252
1800,239.58,217,259
1900,246.45,227,264
2000,252.49,231,271
2100,258.28,237,278
2200,264.35,244,284
2300,270.19,249,290
2400,276.34,254,297
2500,281.62,258,306
2600,286.94,261,309
2700,292.81,269,317
2800,298.25,275,323
2900,303.17,281,327
3000,308.3,287,332
3100,313.35,289,337
3200,318.29,295,343
3300,323.04,298,347
3400,328.04,305,350
3500,332.55,308,355
3600,336.9,313,360
3700,341.3,319,363
3800,345.59,324,366
3900,350.08,329,370
4000,354.47,332,376
4100,358.44,336,380
4200,362.58,341,385
4300,366.69,345,389
4400,370.88,350,394
4500,375.49,356,398
4600,379.26,359,400
4700,383.23,364,404
4800,387.32,365,407
4900,391.41,371,413
5000,394.96,375,416
5100,398.69,376,421
5200,402.43,380,424
5300,406.13,384,429
5400,409.88,388,433
5500,413.52,391,438
5600,416.66,394,441
5700,420.04,396,443
5800,423.39,401,447
5900,426.99,406,451
6000,430.33,407,454
6100,433.93,412,457
6200,437.39,414,460
6300,440.5,416,463
6400,443.61,421,466
6500,446.9,424,468
6600,450.03,427,472
6700,453.08,430,474
6800,456.41,431,478
6900,459.62,435,482
7000,462.6,440,483
7100,465.54,444,486
7200,468.4,446,490
7300,471.49,448,493
7400,474.29,450,496
7500,477.1,453,498
7600,480.15,456,503
7700,482.82,460,505
7800,486.15,462,510
7900,489.05,464,514
8000,492.03,467,517
8100,494.88,470,521
8200,497.8,471,522
8300,500.44,476,524
8400,503.3,479,526
8500,506.1,482,530
8600,508.48,483,531
8700,511.39,485,534
8800,514.11,489,536
8900,516.82,494,542
9000,519.39,495,543
9100,521.69,497,546
9200,524.27,500,548
9300,527.02,501,550
9400,529.72,503,553
9500,531.93,505,556
9600,534.54,507,560
9700,537.4,513,564
9800,539.91,515,567
9900,542.67,518,569
10000,545.4,521,570
10100,547.86,522,571
10200,550.28,523,574
10300,552.84,525,575
10400,555.04,529,577
10500,557.3,529,578
10600,559.75,531,581
10700,562.15,533,585
10800,564.32,535,587
10900,566.75,536,589
11000,569.29,537,591
11100,571.45,542,593
11200,574.03,545,594
11300,576.18,546,598
11400,578.57,550,601
11500,581.02,551,604
11600,583.25,552,608
11700,585.54,554,610
11800,587.58,556,611
11900,589.86,557,614
12000,591.98,561,617
12100,594.39,562,621
12200,596.64,563,623
12300,598.93,564,625
12400,601.42,566,628
12500,603.82,570,631
12600,605.82,572,633
12700,607.77,576,634
12800,610.08,576,636
12900,612.28,579,638
13000,614.5,581,642
13100,616.71,582,643
13200,618.99,586,645
13300,621.16,587,648
13400,623.53,590,653
13500,625.59,592,654
13600,627.7,593,657
13700,629.51,595,660
13800,631.92,596,663
13900,633.75,597,664
14000,635.85,602,666
14100,637.92,603,668
14200,639.75,603,669
14300,641.9,605,672
14400,644.1,608,675
14500,646.09,609,677
14600,648.12,612,678
14700,650.36,613,680
14800,652.28,614,683
14900,654.61,616,687
15000,656.49,619,687
15100,658.29,620,689
15200,660.22,620,690
15300,662.07,624,691
15400,663.98,625,692
15500,665.97,628,695
15600,667.76,630,697
15700,669.74,631,699
15800,671.63,635,702
15900,673.59,638,703
16000,675.33,640,705
16100,677.08,644,707
16200,678.86,645,710
16300,680.5,645,710
16400,682.17,648,712
16500,684.05,649,716
16600,685.99,649,717
16700,687.88,651,719
16800,689.55,653,720
16900,691.18,655,721
17000,692.98,657,723
17100,694.8,660,727
17200,696.42,664,728
17300,698.12,666,729
17400,699.73,667,731
17500,701.46,668,733
17600,703.16,668,736
17700,704.85,672,738
17800,706.45,672,739
17900,708.03,675,739
18000,709.83,678,740
18100,711.42,679,740
18200,713.57,682,742
18300,715.44,684,745
18400,716.94,684,746
18500,718.77,684,747
18600,720.33,686,750
18700,722.02,687,752
18800,723.69,691,755
18900,725.42,692,758
19000,727.18,693,760
19100,728.93,696,760
19200,730.55,698,761
19300,732.21,699,762
19400,734.06,700,762
19500,735.74,703,764
19600,737.33,704,767
19700,739.09,704,769
19800,740.69,708,770
19900,742.47,709,772
20000,744.14,710,776
20100,745.7,711,776
20200,747.31,713,778
20300,748.83,714,780
20400,750.5,715,781
20500,751.97,715,782
20600,753.58,717,786
20700,755.11,719,786
20800,756.64,721,788
20900,758.25,722,789
21000,759.85,724,790
21100,761.42,725,792
21200,763.23,727,795
21300,764.87,728,796
21400,766.38,729,799
21500,767.76,732,800
21600,769.23,735,802
21700,770.54,735,803
21800,772.12,736,808
21900,773.54,736,809
22000,774.9,738,811
22100,776.26,741,812
22200,777.64,742,813
22300,779.28,744,814
22400,780.84,745,815
22500,782.33,747,815
22600,783.6,750,815
22700,785.16,754,815
22800,786.86,755,816
22900,788.35,757,818
23000,789.96,757,820
23100,791.34,757,821
23200,792.72,759,824
23300,794.2,759,826
23400,795.48,761,827
23500,796.87,763,828
23600,798.22,765,830
23700,799.79,766,830
23800,800.99,767,832
23900,802.34,769,836
24000,803.67,770,838
24100,805.13,772,838
24200,806.53,772,840
24300,808.02,774,842
24400,809.47,775,842
24500,811.04,776,843
24600,812.35,779,844
24700,813.76,780,845
