numsampled,0.97,lci,hci
1,1,1,1
100,40.96,34,50
200,66.24,55,76
300,86.26,74,98
400,102.44,89,116
500,115.85,104,130
600,128.24,115,144
700,139.67,124,156
800,149.95,134,166
900,159.2,143,176
1000,167.94,154,183
1100,176.25,160,194
1200,184.22,169,202
1300,191.58,176,210
1400,199.28,180,217
1500,206.58,188,222
1600,213.36,198,230
1700,219.73,205,237
1800,226.03,211,242
1900,232.02,214,249
2000,237.67,222,256
2100,243.37,226,263
2200,249.1,233,268
2300,254.49,239,273
2400,259.64,243,279
2500,264.82,248,288
2600,269.52,253,292
2700,274.55,258,298
2800,279.37,262,305
2900,284.3,266,309
3000,288.71,270,314
3100,293.31,275,320
3200,297.88,279,324
3300,302.12,281,329
3400,306.5,286,332
3500,310.68,291,336
3600,314.58,295,338
3700,318.62,299,344
3800,322.61,303,346
3900,326.23,307,349
4000,330.08,312,353
4100,333.86,315,359
4200,337.4,318,362
4300,341.34,323,364
4400,345.1,326,369
4500,348.62,329,373
4600,352.04,332,376
4700,355.46,336,380
4800,358.86,341,384
4900,362.6,343,387
5000,365.86,347,390
5100,368.97,349,392
5200,372.36,350,397
5300,375.63,354,397
5400,378.98,358,401
5500,382.02,362,407
5600,384.9,363,409
5700,387.94,368,410
5800,391.02,368,412
5900,394.35,371,416
6000,397.42,373,419
6100,399.98,376,421
6200,402.8,377,423
6300,405.67,383,428
6400,408.56,388,430
6500,411.1,390,434
6600,413.96,392,437
6700,416.73,398,440
6800,419.52,400,443
6900,422.27,403,448
7000,425.24,405,450
7100,428.39,408,453
7200,430.92,409,457
7300,433.66,414,460
7400,436.43,415,463
7500,438.96,415,466
7600,441.61,419,469
7700,444.2,421,471
7800,446.99,423,473
7900,449.48,425,476
8000,452.06,427,480
8100,454.44,433,483
8200,456.6,434,486
8300,459.06,436,487
8400,461.46,437,491
8500,463.87,442,494
8600,466.35,444,496
8700,468.68,445,498
8800,470.86,445,499
8900,473.3,446,501
9000,475.51,449,503
9100,477.66,452,505
9200,480.05,455,506
9300,482.55,457,508
9400,485.02,460,512
9500,487.03,462,513
9600,489.25,464,515
9700,491.57,467,517
