numsampled,0.97,lci,hci
1,1,1,1
100,32.26,25,40
200,55.54,43,67
300,75.3,65,88
400,92.41,80,105
500,107.14,95,121
600,120.93,108,136
700,133.24,121,144
800,145.06,132,158
900,155.41,142,173
1000,164.69,150,180
1100,173.6,160,189
1200,182,167,198
1300,190.13,174,207
1400,197.27,180,213
1500,204.5,188,221
1600,211.82,196,227
1700,218.66,201,235
1800,225.28,208,241
1900,231.2,213,247
2000,236.81,219,252
2100,242.48,224,260
2200,247.84,229,267
2300,252.98,233,270
2400,257.77,239,275
2500,262.64,245,280
2600,267.62,250,283
2700,272.3,256,288
2800,276.95,261,293
2900,281.3,265,298
3000,285.91,268,303
3100,290.1,271,307
3200,294.35,275,311
3300,298.73,280,316
3400,302.44,284,321
3500,306.01,287,326
3600,309.76,290,329
3700,313.63,294,333
3800,317.07,297,338
3900,320.42,298,341
4000,324.29,303,344
4100,327.75,305,349
4200,331.23,308,353
4300,334.86,312,358
4400,338.2,313,362
4500,341.42,316,364
4600,344.49,319,367
4700,347.55,321,372
4800,350.81,326,375
4900,353.82,327,379
5000,356.79,329,381
5100,359.94,333,384
5200,362.81,339,387
5300,365.65,340,390
5400,368.2,342,393
5500,370.95,346,396
5600,373.67,348,400
5700,376.9,355,402
5800,379.51,355,405
5900,382.21,360,408
6000,385.18,362,409
6100,388.18,364,412
6200,390.91,367,416
6300,393.54,372,418
6400,396.35,378,423
6500,399.17,382,425
6600,401.74,382,429
6700,404.12,384,431
6800,406.59,387,432
6900,409.08,391,436
7000,411.81,393,439
7100,414.17,395,441
7200,416.69,396,443
7300,419.29,400,446
7400,421.82,401,451
7500,423.93,404,451
7600,426.14,406,453
7700,428.53,408,456
7800,431.06,411,459
7900,433.17,412,463
8000,435.37,412,465
8100,437.5,413,465
8200,439.72,416,468
8300,441.67,417,469
8400,443.92,422,472
8500,445.9,423,475
8600,448.28,426,478
8700,450.45,428,482
8800,452.52,429,484
8900,454.75,430,489
9000,456.94,432,492
9100,459,433,493
9200,461.02,435,494
9300,462.82,436,499
9400,464.73,439,500
9500,466.9,440,505
9600,469.13,443,509
9700,470.95,444,513
9800,472.87,445,513
9900,474.93,448,514
10000,476.72,449,515
10100,478.7,451,515
10200,480.78,451,515
10300,482.91,453,516
10400,484.84,456,518
10500,486.81,458,518
10600,488.57,459,519
10700,490.4,461,521
10800,492.29,463,522
10900,494.21,465,525
11000,495.97,466,525
11100,497.74,468,526
11200,499.58,469,527
11300,501.39,471,528
11400,503.13,474,529
11500,504.94,476,531
11600,506.68,478,533
11700,508.37,482,535
11800,509.88,483,537
11900,511.79,484,537
12000,513.58,486,539
12100,515.24,486,542
12200,516.8,487,543
12300,518.67,490,545
12400,520.36,492,548
12500,522.09,493,550
12600,523.82,495,552
12700,525.41,498,555
12800,527.04,500,556
12900,528.96,502,559
13000,530.6,503,560
13100,532.24,504,561
13200,533.93,506,563
13300,535.57,508,565
13400,536.98,509,567
13500,538.66,510,570
13600,540.17,512,571
13700,541.68,514,571
13800,543.19,516,573
13900,544.78,519,573
14000,546.37,519,577
14100,548,521,577
14200,549.51,521,578
14300,550.86,523,580
14400,552.12,524,581
14500,553.94,528,581
14600,555.44,528,582
14700,557.19,531,584
14800,559.08,532,589
14900,560.58,532,591
15000,562.01,534,593
15100,563.5,535,594
15200,565.23,536,596
15300,566.8,537,598
15400,568.16,539,599
15500,569.58,541,599
15600,570.87,541,600
15700,572.29,542,601
15800,573.6,543,603
15900,575.06,545,603
16000,576.65,546,605
16100,578.07,547,607
16200,579.59,549,608
16300,581.02,551,609
16400,582.68,552,610
16500,584.1,555,611
16600,585.6,557,612
16700,587.05,557,614
16800,588.69,559,615
16900,590,561,617
17000,591.6,567,618
17100,592.93,568,619
17200,594.35,569,620
17300,595.64,571,623
17400,596.99,572,624
17500,598.32,573,625
17600,599.7,574,625
17700,601.02,574,626
17800,602.55,576,629
17900,603.81,576,630
18000,605.23,580,631
18100,606.62,580,632
18200,608.05,581,634
18300,609.33,582,635
18400,610.79,585,636
18500,612.06,587,638
18600,613.42,589,639
18700,614.7,590,641
18800,615.97,591,643
18900,617.19,592,643
19000,618.7,594,645
19100,620.05,595,647
19200,621.5,596,648
19300,623.04,596,650
19400,624.32,597,652
19500,625.56,599,653
19600,626.99,601,655
19700,628.2,603,658
19800,629.64,606,659
19900,631,606,662
20000,632.38,606,663
20100,633.53,608,664
20200,634.79,610,664
20300,636.03,613,664
20400,637.35,615,664
20500,638.77,615,664
20600,639.96,616,665
20700,641.35,617,667
20800,642.44,617,669
20900,643.47,617,672
21000,644.71,619,673
21100,645.76,619,676
21200,646.78,620,676
21300,648.07,622,677
21400,649.23,624,679
21500,650.38,624,681
21600,651.55,627,682
21700,652.51,629,684
21800,653.72,630,686
21900,654.96,632,687
22000,656.25,632,689
22100,657.54,635,690
22200,658.85,636,692
22300,660.24,637,692
22400,661.33,637,692
22500,662.44,638,693
22600,663.54,640,695
22700,664.85,642,696
22800,666.14,643,696
22900,667.24,643,698
23000,668.41,645,698
23100,669.42,647,699
23200,670.52,648,701
23300,671.65,648,703
23400,672.83,650,704
23500,674.12,650,705
23600,675.39,651,706
23700,676.45,651,707
23800,677.6,654,707
23900,678.96,656,708
24000,680.27,658,710
24100,681.47,659,711
24200,682.6,660,711
24300,683.83,661,711
24400,685.05,661,712
24500,686.49,663,712
24600,687.65,664,713
24700,688.9,666,715
24800,689.86,667,716
24900,691.06,667,717
25000,692.37,669,719
25100,693.37,669,720
25200,694.44,670,722
25300,695.59,672,723
25400,696.73,673,726
25500,697.86,674,727
25600,698.95,675,727
25700,700.16,676,729
25800,701.41,678,730
25900,702.37,679,731
26000,703.49,680,733
26100,704.61,681,733
26200,705.65,681,733
26300,706.93,682,734
26400,708.08,683,736
26500,709.13,686,737
26600,710.13,686,738
26700,711.25,687,739
26800,712.15,687,739
26900,713.15,688,741
27000,714.27,690,741
27100,715.5,690,742
27200,716.57,692,742
27300,717.58,693,745
27400,718.46,694,746
27500,719.37,695,746
27600,720.33,698,747
27700,721.55,699,747
27800,722.62,699,748
27900,723.66,699,751
28000,724.83,701,752
28100,725.77,702,752
28200,726.72,702,753
28300,727.82,702,755
28400,728.94,704,756
28500,729.86,705,756
28600,730.87,706,756
28700,731.93,707,757
28800,732.76,708,758
28900,733.62,709,759
29000,734.62,709,760
29100,735.62,710,760
29200,736.63,710,763
29300,737.5,711,764
29400,738.56,712,765
29500,739.61,712,766
29600,740.45,713,769
29700,741.42,715,769
29800,742.44,717,770
29900,743.39,717,770
30000,744.38,717,773
30100,745.41,719,773
30200,746.46,719,775
30300,747.42,721,775
30400,748.28,722,777
30500,749.36,723,778
30600,750.44,724,778
30700,751.18,724,779
30800,752.15,724,781
30900,753.25,726,782
31000,754.26,727,783
31100,755.27,728,783
31200,756.25,729,783
31300,757.37,732,785
31400,758.33,734,786
31500,759.28,734,786
31600,760.22,735,788
31700,761.16,736,789
31800,762.14,737,790
31900,763.12,737,791
32000,764.07,740,792
32100,765.09,740,793
32200,766.06,742,795
32300,766.89,743,796
32400,767.81,743,796
32500,768.61,744,796
32600,769.45,745,797
32700,770.29,745,797
32800,771.21,746,799
32900,772.09,747,801
33000,772.86,747,803
33100,773.92,749,803
33200,774.78,750,804
33300,776,752,805
33400,776.84,753,806
33500,777.74,753,809
33600,778.76,753,810
33700,779.62,754,810
33800,780.4,754,811
33900,781.23,755,812
34000,782.2,757,813
34100,782.96,757,815
34200,783.96,759,816
34300,785.03,761,816
34400,785.78,762,817
34500,786.62,762,820
34600,787.53,763,820
34700,788.45,763,820
34800,789.6,765,820
34900,790.47,766,822
35000,791.26,767,823
35100,792.11,767,824
35200,792.98,767,825
35300,793.77,767,826
35400,794.7,767,828
35500,795.73,768,829
35600,796.58,768,830
35700,797.61,769,834
35800,798.49,770,834
35900,799.62,771,834
36000,800.33,773,835
36100,801.21,773,836
36200,801.96,776,836
36300,802.81,778,838
36400,803.7,778,838
36500,804.6,778,839
36600,805.47,778,840
36700,806.39,779,841
36800,807.14,781,841
36900,808.01,782,842
37000,809.09,784,843
37100,810.05,785,844
37200,810.9,786,845
37300,811.71,786,846
37400,812.58,787,847
37500,813.5,788,848
37600,814.46,789,850
37700,815.21,790,850
37800,816.11,790,851
37900,816.94,790,853
38000,817.76,792,853
38100,818.55,792,854
38200,819.37,792,856
38300,820.08,792,857
38400,821.09,793,858
38500,821.77,794,859
38600,822.59,794,859
38700,823.31,795,859
38800,824.22,797,859
38900,825.19,798,860
39000,826.1,799,860
39100,826.93,799,861
39200,827.75,799,863
39300,828.54,801,863
39400,829.45,802,864
39500,830.33,803,864
39600,831.14,803,864
39700,831.91,803,865
39800,832.88,803,865
39900,833.62,803,865
40000,834.32,804,866
40100,835.14,805,867
40200,835.94,806,867
40300,836.77,806,868
40400,837.65,806,870
40500,838.39,809,870
40600,839.18,810,871
40700,839.89,810,872
40800,840.72,811,873
40900,841.54,812,876
41000,842.45,812,877
41100,843.33,813,877
41200,844.19,814,877
41300,844.85,814,877
41400,845.68,815,877
41500,846.53,815,878
41600,847.2,817,880
41700,847.97,818,881
41800,848.88,820,883
41900,849.69,821,884
42000,850.38,821,884
42100,851.25,821,884
42200,852.2,823,885
42300,853.25,823,885
42400,854.06,824,886
42500,854.86,824,887
42600,855.68,826,888
42700,856.44,827,889
42800,857.37,827,889
42900,858.29,827,891
43000,858.84,828,892
43100,859.49,828,892
43200,860.27,830,893
43300,861,830,895
43400,861.78,832,895
43500,862.46,833,897
43600,863.36,833,897
43700,864.23,834,897
43800,865.01,834,897
43900,865.77,834,898
44000,866.42,835,898
44100,867.2,836,898
44200,867.99,836,898
44300,868.77,837,900
44400,869.89,838,901
44500,870.73,838,902
44600,871.46,839,903
44700,872.15,840,903
44800,873.08,841,904
44900,873.85,841,904
45000,874.47,844,905
45100,875.26,846,906
45200,876.09,846,907
45300,876.88,846,907
45400,877.6,846,908
45500,878.36,847,910
45600,879.22,847,912
45700,880.02,848,912
45800,880.82,849,916
45900,881.47,849,918
46000,882.38,849,918
46100,883.04,849,919
46200,883.85,851,919
46300,884.58,852,919
46400,885.2,853,919
46500,886.1,855,920
46600,886.59,855,920
46700,887.24,855,920
46800,888,856,920
46900,888.7,857,920
47000,889.43,857,921
47100,890.26,857,922
47200,890.94,858,924
47300,891.7,858,925
47400,892.4,858,925
47500,893.02,859,925
47600,893.82,859,925
47700,894.7,861,926
47800,895.54,862,927
47900,896.31,864,927
48000,897.02,864,929
48100,897.66,866,931
48200,898.39,866,931
48300,899.01,866,931
48400,899.78,866,931
48500,900.51,866,931
48600,901.23,867,931
48700,901.95,868,932
48800,902.64,869,932
48900,903.28,869,932
49000,903.9,869,932
49100,904.52,869,933
49200,905.26,869,934
49300,905.95,869,934
49400,906.66,870,934
49500,907.49,870,938
49600,908.17,871,939
49700,908.96,871,939
49800,909.64,872,939
49900,910.46,872,939
50000,911.22,875,940
50100,912.08,876,941
50200,912.78,877,942
50300,913.57,878,942
50400,914.37,880,944
50500,915.02,880,945
50600,915.8,880,945
50700,916.51,881,946
50800,917.3,884,948
50900,917.92,885,948
51000,918.66,886,948
51100,919.48,888,948
51200,920.28,889,949
51300,920.92,891,950
51400,921.63,891,951
51500,922.21,891,952
51600,922.81,891,954
51700,923.55,891,954
51800,924.19,891,954
51900,924.89,891,954
52000,925.62,891,954
52100,926.25,893,957
52200,926.93,895,957
52300,927.75,896,957
52400,928.54,896,958
52500,929.15,896,959
52600,929.83,896,960
52700,930.74,899,960
52800,931.35,899,960
52900,932.08,901,961
53000,932.94,901,961
53100,933.63,902,962
53200,934.29,902,963
53300,934.91,903,964
53400,935.57,905,965
53500,936.41,906,966
53600,937.29,907,966
53700,937.98,908,968
53800,938.77,909,970
53900,939.53,909,970
54000,940.14,911,971
54100,940.99,911,973
54200,941.53,911,975
54300,942.18,912,975
54400,942.97,912,975
54500,943.68,912,976
54600,944.34,912,976
54700,945.04,912,976
54800,945.69,913,979
54900,946.28,913,980
55000,946.9,915,981
55100,947.58,916,981
55200,948.15,918,981
55300,948.85,919,982
55400,949.57,919,984
55500,950.25,921,984
55600,950.97,923,986
55700,951.69,923,986
55800,952.52,924,986
55900,953.21,926,987
56000,954.02,926,987
56100,954.81,926,988
56200,955.44,926,988
56300,956.08,926,989
56400,956.76,926,990
56500,957.55,929,990
56600,958.19,929,990
56700,958.87,930,992
56800,959.5,932,992
56900,960.05,933,993
57000,960.64,933,994
57100,961.45,935,995
57200,962.07,936,995
57300,962.57,936,995
57400,963.27,937,995
57500,964.09,937,996
57600,964.69,938,996
57700,965.25,940,996
57800,965.98,940,996
57900,966.69,941,997
58000,967.27,942,997
58100,967.89,942,999
58200,968.5,942,999
58300,968.99,943,1000
58400,969.64,943,1000
58500,970.34,943,1001
58600,971.09,945,1003
58700,971.8,945,1004
58800,972.5,945,1005
58900,973.17,945,1006
59000,973.72,945,1006
59100,974.22,946,1007
59200,974.84,946,1008
59300,975.52,946,1009
59400,976.08,946,1009
59500,976.75,948,1009
59600,977.54,951,1009
59700,978.1,951,1009
59800,978.73,951,1010
59900,979.33,951,1011
60000,980.08,951,1012
60100,980.83,951,1012
60200,981.56,952,1015
60300,982.22,952,1015
60400,982.87,953,1016
60500,983.47,953,1017
60600,984.13,953,1017
60700,984.73,953,1017
60800,985.25,954,1018
60900,985.76,954,1018
61000,986.36,955,1019
61100,986.97,956,1019
61200,987.64,956,1021
61300,988.3,958,1021
61400,988.81,959,1021
61500,989.38,960,1022
61600,989.95,960,1023
61700,990.54,961,1024
61800,991.15,961,1025
61900,991.8,964,1025
62000,992.49,964,1026
62100,993,964,1027
62200,993.46,964,1028
62300,994.06,964,1029
62400,994.75,965,1030
62500,995.29,965,1030
62600,995.9,965,1031
62700,996.56,965,1031
62800,997.24,966,1032
62900,997.91,966,1032
63000,998.56,966,1033
63100,999.26,966,1034
63200,999.95,966,1034
63300,1000.62,967,1034
63400,1001.3,969,1036
63500,1001.87,969,1036
63600,1002.55,969,1036
63700,1003.23,969,1036
63800,1003.94,969,1036
63900,1004.53,972,1036
64000,1005.1,972,1037
64100,1005.7,975,1037
64200,1006.29,976,1037
64300,1006.8,977,1039
64400,1007.3,978,1039
64500,1008.06,979,1039
64600,1008.73,981,1041
64700,1009.28,981,1041
64800,1009.84,981,1041
64900,1010.54,982,1042
65000,1011.08,982,1042
65100,1011.64,982,1042
65200,1012.19,983,1043
65300,1012.67,983,1044
65400,1013.23,984,1044
65500,1013.94,984,1044
65600,1014.44,985,1046
65700,1014.96,986,1047
65800,1015.55,986,1047
65900,1016.05,986,1047
66000,1016.53,986,1047
66100,1017.15,988,1047
66200,1017.73,988,1050
66300,1018.27,988,1051
66400,1018.81,989,1051
66500,1019.44,989,1051
66600,1019.97,989,1051
66700,1020.52,989,1051
66800,1021.05,989,1052
66900,1021.58,990,1052
67000,1022.04,990,1052
67100,1022.65,990,1054
67200,1023.32,990,1054
67300,1023.85,990,1055
67400,1024.37,990,1056
67500,1024.88,990,1056
67600,1025.46,991,1056
67700,1026.03,991,1056
67800,1026.41,991,1056
67900,1027.12,992,1057
68000,1027.8,995,1057
68100,1028.37,997,1058
68200,1028.95,997,1059
68300,1029.44,998,1060
68400,1029.94,998,1062
68500,1030.46,999,1063
68600,1031.24,1001,1065
68700,1031.7,1001,1067
68800,1032.21,1002,1067
68900,1032.79,1002,1068
69000,1033.37,1002,1068
69100,1033.87,1003,1068
69200,1034.43,1004,1068
69300,1035.05,1004,1069
69400,1035.73,1004,1069
69500,1036.27,1004,1071
69600,1036.81,1005,1071
