numsampled,0.97,lci,hci
1,0,0,0
100,2.6429,2.1909,3.0157
200,2.8888,2.5995,3.19
300,3.0015,2.7559,3.2476
400,3.0584,2.8387,3.2762
500,3.1133,2.9156,3.3115
600,3.154,2.9599,3.368
700,3.186,3.0102,3.381
800,3.2024,3.0311,3.3981
900,3.2269,3.0604,3.41
1000,3.2418,3.0924,3.4095
1100,3.2545,3.1032,3.4168
1200,3.2682,3.0992,3.4179
1300,3.28,3.1231,3.4159
1400,3.2899,3.1417,3.4218
1500,3.3007,3.1527,3.437
1600,3.3104,3.1736,3.4557
1700,3.3185,3.1935,3.4417
1800,3.322,3.1891,3.4436
1900,3.3273,3.2205,3.4567
2000,3.3356,3.2277,3.4429
2100,3.3404,3.2385,3.4348
2200,3.3433,3.2429,3.4352
2300,3.3489,3.2538,3.4432
2400,3.3542,3.2594,3.4528
2500,3.3589,3.2688,3.4588
2600,3.3635,3.269,3.4612
2700,3.3666,3.2735,3.4575
2800,3.369,3.2803,3.4615
2900,3.373,3.2949,3.463
3000,3.3767,3.2957,3.4675
3100,3.38,3.2968,3.4693
3200,3.3832,3.3049,3.4721
3300,3.386,3.3045,3.4693
3400,3.3876,3.3045,3.4683
3500,3.3908,3.3239,3.4652
3600,3.393,3.3157,3.4696
3700,3.3962,3.3276,3.4663
3800,3.3975,3.3211,3.4727
3900,3.3988,3.3182,3.4684
4000,3.4007,3.3201,3.4779
4100,3.4016,3.3284,3.474
4200,3.4032,3.3321,3.4759
4300,3.4046,3.3249,3.4819
4400,3.4059,3.3258,3.4807
4500,3.4072,3.3293,3.4821
4600,3.4078,3.3396,3.4744
4700,3.409,3.3405,3.4788
4800,3.4105,3.3462,3.4777
4900,3.412,3.3459,3.4806
5000,3.4125,3.3438,3.4804
5100,3.4127,3.3492,3.4788
5200,3.4146,3.3519,3.4801
5300,3.416,3.3572,3.4769
5400,3.417,3.3553,3.484
5500,3.418,3.3546,3.4853
5600,3.419,3.3543,3.4767
5700,3.4205,3.3544,3.4837
