numsampled,0.97,lci,hci
1,0,0,0
100,2.9601,2.5663,3.3071
200,3.199,2.898,3.4413
300,3.3039,3.0748,3.546
400,3.3721,3.1776,3.5934
500,3.4151,3.2405,3.6
600,3.4537,3.2875,3.6264
700,3.4901,3.3377,3.6443
800,3.5103,3.3418,3.661
900,3.5278,3.3954,3.6822
1000,3.5439,3.4112,3.6521
1100,3.5603,3.4332,3.682
1200,3.5688,3.4579,3.6973
1300,3.5813,3.4674,3.6952
1400,3.5905,3.4768,3.7041
1500,3.5978,3.4918,3.7049
1600,3.6048,3.4984,3.6933
1700,3.6099,3.5151,3.7056
1800,3.6185,3.5172,3.723
1900,3.6259,3.5394,3.7282
2000,3.63,3.5485,3.729
2100,3.6343,3.553,3.7319
2200,3.6377,3.5521,3.7323
2300,3.6425,3.5592,3.7255
2400,3.6474,3.5542,3.737
2500,3.6518,3.5558,3.7384
2600,3.656,3.5684,3.7412
2700,3.6597,3.5781,3.7522
2800,3.6617,3.5829,3.7599
2900,3.6652,3.5861,3.7553
3000,3.6679,3.5909,3.7441
3100,3.6709,3.5894,3.7471
3200,3.6733,3.5997,3.7507
3300,3.676,3.603,3.7475
3400,3.68,3.6106,3.7563
3500,3.6811,3.6131,3.7647
3600,3.6828,3.6188,3.7681
3700,3.6844,3.6192,3.7649
3800,3.6856,3.6256,3.764
3900,3.6886,3.6312,3.7662
4000,3.69,3.6281,3.769
4100,3.6919,3.6286,3.7724
4200,3.6935,3.6263,3.763
4300,3.6952,3.6261,3.7684
4400,3.6959,3.623,3.7687
4500,3.6983,3.6228,3.774
4600,3.6985,3.6279,3.7755
4700,3.7006,3.6345,3.7732
4800,3.702,3.6404,3.7795
4900,3.7038,3.643,3.7797
5000,3.7041,3.6397,3.776
5100,3.7056,3.6392,3.777
5200,3.7064,3.641,3.7779
5300,3.7075,3.6425,3.7784
5400,3.7088,3.6435,3.7807
5500,3.7097,3.6445,3.7785
5600,3.7103,3.6422,3.7792
5700,3.7108,3.6463,3.7761
5800,3.7123,3.6584,3.7809
5900,3.7131,3.6584,3.7814
6000,3.7142,3.6589,3.7805
6100,3.7154,3.6559,3.7825
6200,3.7164,3.6508,3.7858
6300,3.7171,3.6567,3.7837
6400,3.7178,3.6588,3.7847
6500,3.7182,3.6602,3.7877
6600,3.7186,3.6685,3.783
6700,3.7189,3.6667,3.7822
6800,3.7191,3.6653,3.7809
6900,3.7195,3.6603,3.7767
7000,3.7199,3.6607,3.7781
7100,3.7203,3.6592,3.7785
7200,3.7205,3.6592,3.7797
7300,3.7212,3.6547,3.7811
7400,3.7211,3.6618,3.7816
7500,3.7215,3.6678,3.7828
7600,3.7216,3.6666,3.7812
7700,3.7223,3.6673,3.7821
7800,3.7232,3.6639,3.7816
7900,3.7234,3.6626,3.7815
8000,3.7244,3.6613,3.7848
8100,3.7255,3.6612,3.785
8200,3.7263,3.6672,3.7859
8300,3.7266,3.6666,3.7843
8400,3.7268,3.6651,3.7839
8500,3.7276,3.6628,3.7846
8600,3.7283,3.6639,3.7816
8700,3.7287,3.6634,3.7817
8800,3.7291,3.6668,3.7841
8900,3.7297,3.6696,3.7819
9000,3.7301,3.6684,3.7793
9100,3.7298,3.6695,3.7774
9200,3.7302,3.6686,3.778
9300,3.7306,3.669,3.7756
9400,3.7311,3.6709,3.7788
9500,3.7312,3.6732,3.7752
9600,3.7315,3.674,3.7738
9700,3.7322,3.6735,3.7756
9800,3.7328,3.6732,3.7769
9900,3.7334,3.6749,3.7801
10000,3.7338,3.6724,3.7814
10100,3.7345,3.6723,3.781
10200,3.7347,3.6686,3.7813
10300,3.7352,3.6715,3.7777
10400,3.7353,3.6699,3.7785
10500,3.7358,3.6712,3.7816
10600,3.7362,3.6774,3.7793
10700,3.7364,3.6759,3.7795
10800,3.7365,3.6748,3.7791
10900,3.7369,3.6766,3.7824
11000,3.7375,3.6776,3.7823
11100,3.7376,3.6771,3.7831
11200,3.7378,3.6795,3.7826
11300,3.7382,3.6795,3.7854
11400,3.7384,3.6824,3.7849
11500,3.7386,3.6846,3.7864
11600,3.739,3.6842,3.7862
11700,3.7393,3.685,3.7893
11800,3.7397,3.6856,3.7894
11900,3.7402,3.6827,3.7869
12000,3.7402,3.6852,3.7835
12100,3.7405,3.6863,3.7803
12200,3.741,3.6879,3.7803
12300,3.7415,3.6893,3.7856
12400,3.7416,3.6887,3.785
12500,3.742,3.6895,3.7877
12600,3.742,3.6883,3.7872
12700,3.742,3.6884,3.7851
12800,3.7422,3.6899,3.7871
12900,3.7424,3.6923,3.7869
13000,3.7428,3.6923,3.7872
13100,3.7431,3.6923,3.787
13200,3.7434,3.6924,3.7862
13300,3.7436,3.691,3.7855
13400,3.7437,3.6888,3.7875
13500,3.7437,3.6904,3.7858
13600,3.7439,3.69,3.7883
13700,3.7438,3.6902,3.7843
13800,3.7438,3.6889,3.7827
13900,3.7441,3.6861,3.7849
14000,3.7443,3.6858,3.7855
14100,3.7444,3.6881,3.7874
14200,3.7448,3.6881,3.7876
14300,3.7451,3.6873,3.7868
14400,3.7457,3.689,3.7875
14500,3.7459,3.693,3.7885
14600,3.746,3.6931,3.7874
14700,3.7463,3.6936,3.7883
14800,3.7463,3.6928,3.7876
14900,3.7466,3.6943,3.7891
15000,3.7467,3.6928,3.7886
15100,3.7467,3.6916,3.7864
15200,3.7469,3.6905,3.786
15300,3.7471,3.691,3.7864
15400,3.7474,3.6926,3.7863
15500,3.7478,3.6942,3.7851
15600,3.748,3.6937,3.7847
15700,3.7483,3.6962,3.7821
15800,3.7488,3.6969,3.7818
15900,3.7489,3.6965,3.781
16000,3.7493,3.6946,3.7816
16100,3.7496,3.6942,3.7827
16200,3.7498,3.6948,3.7851
16300,3.75,3.6956,3.7851
16400,3.7504,3.6946,3.7845
16500,3.7505,3.6967,3.7818
16600,3.7507,3.697,3.7817
16700,3.7508,3.7,3.7817
16800,3.7509,3.7001,3.7824
16900,3.7508,3.6988,3.7816
17000,3.751,3.6987,3.7807
17100,3.7513,3.6986,3.784
17200,3.7513,3.6991,3.7829
17300,3.7515,3.6996,3.7825
17400,3.7516,3.698,3.7828
17500,3.752,3.7005,3.7845
17600,3.752,3.701,3.784
17700,3.752,3.7007,3.7851
17800,3.752,3.7041,3.7866
17900,3.7521,3.7022,3.7869
18000,3.7522,3.7031,3.7873
18100,3.7525,3.7013,3.7865
18200,3.7527,3.7018,3.7884
18300,3.7529,3.7023,3.7891
18400,3.7531,3.7046,3.79
18500,3.7535,3.7046,3.7898
18600,3.7536,3.7039,3.7897
18700,3.7537,3.7037,3.79
18800,3.7539,3.7041,3.7923
18900,3.7541,3.7041,3.7929
19000,3.7542,3.7053,3.7928
19100,3.7542,3.705,3.7937
19200,3.7544,3.7041,3.7934
19300,3.7542,3.7051,3.794
19400,3.7544,3.7048,3.7941
19500,3.7547,3.7063,3.7925
19600,3.7549,3.7069,3.7921
19700,3.7552,3.7082,3.7927
19800,3.7555,3.7073,3.7914
19900,3.7555,3.7077,3.7913
20000,3.7557,3.7071,3.7921
20100,3.7558,3.7081,3.7904
20200,3.7558,3.7082,3.789
20300,3.7562,3.7093,3.7898
20400,3.7564,3.7097,3.7917
20500,3.7566,3.7095,3.7926
20600,3.7567,3.7107,3.792
20700,3.7567,3.7097,3.7917
20800,3.7567,3.7112,3.7917
20900,3.7569,3.712,3.7922
21000,3.757,3.7115,3.7914
21100,3.7571,3.712,3.7925
21200,3.7572,3.7121,3.7911
21300,3.7573,3.7134,3.7921
21400,3.7573,3.7155,3.7917
21500,3.7573,3.7149,3.7906
21600,3.7574,3.7133,3.7905
21700,3.7574,3.7132,3.7886
21800,3.7575,3.7141,3.7893
21900,3.7578,3.7146,3.791
22000,3.7578,3.7153,3.7919
22100,3.7577,3.7166,3.7907
22200,3.7578,3.7166,3.7922
22300,3.7578,3.7158,3.7923
22400,3.7579,3.7163,3.7915
22500,3.7579,3.7184,3.7916
22600,3.758,3.7194,3.7915
22700,3.758,3.7215,3.7908
22800,3.7583,3.7207,3.7896
22900,3.7582,3.7202,3.7896
23000,3.7583,3.7189,3.7904
23100,3.7584,3.7185,3.7912
23200,3.7583,3.7211,3.79
23300,3.7583,3.7218,3.7902
23400,3.7585,3.7218,3.789
23500,3.7588,3.7199,3.7904
23600,3.7589,3.7203,3.7917
23700,3.7591,3.7203,3.7909
23800,3.7591,3.7196,3.7922
23900,3.759,3.7191,3.7898
24000,3.759,3.7187,3.7881
24100,3.7592,3.718,3.7897
24200,3.7593,3.7187,3.7884
24300,3.7594,3.7189,3.7901
24400,3.7595,3.7193,3.7902
24500,3.7597,3.7182,3.7902
24600,3.7596,3.7179,3.7898
24700,3.7596,3.7159,3.7894
24800,3.7596,3.7172,3.7891
24900,3.7596,3.7164,3.7894
25000,3.7597,3.716,3.79
25100,3.7599,3.7196,3.7898
25200,3.76,3.7203,3.7881
25300,3.7602,3.7205,3.7882
25400,3.7604,3.7213,3.7895
25500,3.7606,3.7211,3.7905
25600,3.7607,3.7205,3.7907
25700,3.761,3.7201,3.7908
25800,3.7611,3.7204,3.7904
25900,3.7613,3.7213,3.7904
26000,3.7615,3.7216,3.7909
26100,3.7617,3.7216,3.7904
26200,3.762,3.7235,3.7911
26300,3.762,3.7231,3.7917
26400,3.7621,3.7227,3.7931
26500,3.7622,3.7227,3.7918
26600,3.7623,3.7243,3.7938
26700,3.7624,3.7253,3.7954
26800,3.7625,3.7255,3.7961
26900,3.7625,3.7276,3.796
27000,3.7625,3.7273,3.7958
27100,3.7627,3.7276,3.7963
27200,3.7629,3.7281,3.7973
27300,3.763,3.7287,3.7967
27400,3.7631,3.7294,3.7963
27500,3.7633,3.7302,3.796
27600,3.7633,3.7308,3.7962
27700,3.7634,3.7326,3.7952
27800,3.7635,3.7341,3.795
