numsampled,0.97,lci,hci
18100,4.1501,4.1183,4.1722
18200,4.1502,4.1184,4.1716
18300,4.15,4.1191,4.1702
18400,4.1502,4.1196,4.1703
18500,4.1504,4.1196,4.1707
18600,4.1506,4.1189,4.1711
18700,4.1507,4.1196,4.1706
18800,4.1507,4.1201,4.1705
18900,4.1506,4.121,4.1704
19000,4.1507,4.1204,4.1714
19100,4.1508,4.12,4.1721
19200,4.1509,4.1197,4.1731
19300,4.1509,4.12,4.1722
19400,4.1511,4.1201,4.1714
19500,4.1512,4.1203,4.1727
19600,4.1514,4.1209,4.1727
19700,4.1515,4.1211,4.1723
19800,4.1518,4.1224,4.1732
19900,4.1519,4.123,4.1735
20000,4.1521,4.1235,4.1728
20100,4.1522,4.123,4.1735
20200,4.1524,4.1244,4.1742
20300,4.1525,4.1246,4.1745
20400,4.1525,4.1248,4.1748
20500,4.1526,4.1245,4.1748
20600,4.1527,4.1243,4.175
20700,4.1528,4.1242,4.175
20800,4.153,4.1248,4.1757
20900,4.1529,4.1256,4.1738
21000,4.1531,4.1248,4.1742
21100,4.1531,4.1245,4.1747
21200,4.1531,4.1249,4.1743
21300,4.1532,4.1258,4.1743
21400,4.1533,4.1258,4.1738
21500,4.1533,4.1253,4.1742
21600,4.1536,4.1265,4.1733
21700,4.1537,4.1264,4.1731
21800,4.1538,4.1276,4.1719
21900,4.154,4.1275,4.1724
22000,4.154,4.1268,4.1727
22100,4.1541,4.1273,4.1733
22200,4.1541,4.1268,4.1734
22300,4.1543,4.1263,4.173
22400,4.1544,4.1273,4.1727
22500,4.1547,4.1277,4.1723
22600,4.1548,4.1272,4.1719
22700,4.1548,4.1272,4.1728
22800,4.1549,4.1282,4.1734
22900,4.1548,4.1276,4.1727
23000,4.1548,4.1288,4.1733
23100,4.1549,4.1303,4.1734
23200,4.155,4.1322,4.1733
23300,4.1551,4.1316,4.1727
23400,4.1551,4.1317,4.1726
23500,4.1552,4.1318,4.1717
23600,4.1552,4.1325,4.1716
23700,4.1552,4.1329,4.1717
23800,4.1553,4.1321,4.1714
23900,4.1553,4.1316,4.1711
24000,4.1554,4.1309,4.1712
24100,4.1555,4.132,4.1709
24200,4.1556,4.1311,4.1715
24300,4.1557,4.1315,4.172
24400,4.1558,4.1323,4.173
24500,4.1558,4.1311,4.1731
24600,4.1558,4.131,4.1722
24700,4.1558,4.1301,4.1717
24800,4.1558,4.1305,4.1721
24900,4.1559,4.1314,4.1724
25000,4.156,4.1315,4.1719
25100,4.1562,4.1319,4.1725
25200,4.1562,4.1331,4.1725
25300,4.1564,4.1326,4.1729
25400,4.1565,4.1331,4.1729
25500,4.1566,4.1343,4.1724
25600,4.1567,4.1342,4.1727
25700,4.1568,4.1349,4.1731
25800,4.1568,4.135,4.174
25900,4.1569,4.1355,4.1747
26000,4.157,4.1353,4.1751
26100,4.1571,4.1357,4.1757
26200,4.1573,4.1357,4.1752
26300,4.1574,4.1367,4.1764
26400,4.1574,4.1369,4.1767
26500,4.1575,4.1369,4.1762
26600,4.1576,4.1365,4.1749
26700,4.1578,4.138,4.1755
26800,4.1578,4.1378,4.1755
26900,4.1579,4.1383,4.176
27000,4.1578,4.1374,4.1755
27100,4.1578,4.1372,4.176
27200,4.1578,4.138,4.1755
27300,4.1578,4.1382,4.1754
27400,4.1579,4.1388,4.1762
27500,4.1579,4.1387,4.1763
27600,4.1579,4.1396,4.1753
27700,4.158,4.1396,4.1737
27800,4.158,4.1393,4.174
27900,4.158,4.1392,4.1739
28000,4.1581,4.1389,4.1744
28100,4.1581,4.1388,4.174
28200,4.1582,4.1386,4.1738
28300,4.1582,4.1381,4.1749
28400,4.1583,4.1384,4.1748
28500,4.1582,4.1385,4.1755
28600,4.1583,4.1384,4.1749
28700,4.1584,4.138,4.1756
28800,4.1585,4.1384,4.1756
28900,4.1586,4.1388,4.176
29000,4.1586,4.1392,4.1759
29100,4.1588,4.139,4.1762
29200,4.1589,4.1393,4.1762
29300,4.1589,4.1389,4.177
29400,4.1591,4.1399,4.1767
29500,4.1591,4.1392,4.1766
29600,4.1592,4.1392,4.1756
29700,4.1593,4.1396,4.1757
29800,4.1593,4.1396,4.176
29900,4.1593,4.1397,4.1757
30000,4.1592,4.14,4.1765
30100,4.1592,4.1402,4.1773
30200,4.1593,4.1402,4.1767
30300,4.1594,4.1411,4.1762
30400,4.1595,4.1413,4.1764
30500,4.1595,4.141,4.1761
30600,4.1595,4.1419,4.176
30700,4.1595,4.1416,4.175
30800,4.1597,4.1415,4.1747
30900,4.1598,4.1417,4.1747
31000,4.1598,4.1418,4.174
31100,4.1599,4.1421,4.1742
31200,4.1599,4.1417,4.1747
31300,4.16,4.1417,4.1748
31400,4.1599,4.1425,4.175
31500,4.1601,4.1422,4.1746
31600,4.1601,4.1425,4.1746
31700,4.1603,4.1427,4.1745
31800,4.1602,4.143,4.175
31900,4.1603,4.1429,4.1755
32000,4.1602,4.1429,4.1748
32100,4.1603,4.1429,4.1754
32200,4.1604,4.1429,4.1761
