numsampled,0.97,lci,hci
1,1,1,1
100,52.12,41,59
200,84.42,74,94
300,107.75,98,119
400,126.54,112,136
500,142.43,128,155
600,156.17,143,172
700,168.55,151,185
800,179.42,163,198
900,190.04,173,207
1000,199.66,184,217
1100,208.71,192,226
1200,217.19,200,233
1300,225.72,208,242
1400,233.44,216,250
1500,240.67,220,258
1600,247.56,227,264
1700,254.36,236,271
1800,261.02,241,280
1900,267.24,247,283
2000,273.22,252,292
2100,279.24,255,300
2200,285.9,262,303
2300,291.3,270,308
2400,296.95,275,315
2500,302.43,280,323
2600,308.02,284,329
2700,313.04,288,332
2800,318.74,296,340
2900,323.89,301,343
3000,328.62,305,348
3100,333.45,309,352
3200,338.31,316,357
3300,343.26,318,365
3400,347.73,320,369
3500,352.42,325,373
3600,356.98,328,376
3700,361.57,332,381
3800,365.78,340,385
3900,370,345,388
4000,374.29,349,394
4100,378.48,354,397
4200,382.53,358,402
4300,386.56,363,408
4400,390.33,367,410
4500,394.36,372,415
4600,397.98,375,420
4700,402.03,381,423
4800,405.94,383,427
4900,409.45,387,430
5000,413.29,389,436
5100,417.16,396,439
5200,420.78,400,443
5300,424.17,403,446
5400,428.1,406,451
5500,431.8,412,454
5600,435.22,414,457
5700,438.43,417,461
5800,442.08,420,467
5900,445.71,422,473
6000,449.3,427,475
6100,452.47,430,479
6200,455.66,432,481
6300,459.07,434,486
6400,462.18,439,489
6500,465.54,442,493
6600,468.51,446,497
6700,471.52,448,500
6800,474.26,450,501
6900,477.11,454,502
7000,480.38,457,510
7100,483.28,460,510
7200,486.3,463,513
7300,489.23,466,515
7400,492.25,468,519
7500,494.99,472,522
7600,497.99,478,525
7700,501.22,479,528
7800,504.01,483,531
7900,506.95,485,532
8000,509.91,487,536
8100,512.84,489,539
8200,515.53,491,542
8300,518.08,493,543
8400,520.93,497,547
8500,523.52,498,550
8600,526.44,500,552
8700,528.98,505,556
8800,531.56,508,560
8900,534.31,510,561
9000,536.76,512,563
9100,539.18,516,566
9200,541.77,518,567
9300,544.29,520,573
9400,546.87,523,577
9500,549.48,524,581
9600,552.02,525,584
9700,554.66,526,586
9800,557.14,529,589
9900,559.58,532,590
10000,562.23,535,592
10100,564.49,538,596
10200,566.86,541,597
10300,569.35,544,600
10400,572.13,546,604
10500,574.51,548,606
10600,576.59,550,607
10700,579.21,550,611
10800,581.44,552,613
10900,583.96,555,614
11000,586.33,558,616
11100,588.81,561,618
11200,591.11,563,622
11300,593.57,565,626
11400,596.01,566,629
11500,598.2,568,629
11600,600.39,572,630
11700,602.73,575,634
11800,604.88,576,636
11900,606.98,576,636
12000,609.28,578,640
12100,611.69,582,642
12200,613.86,583,644
12300,615.88,587,646
12400,618.42,590,650
12500,620.6,590,651
12600,622.66,595,651
12700,625.01,599,654
12800,626.98,601,655
12900,629.2,604,661
13000,631.14,605,663
13100,633.1,607,663
13200,635.07,611,664
13300,636.8,612,666
13400,638.91,615,669
13500,641.06,617,671
13600,643.02,618,674
13700,645.16,619,677
13800,647.15,622,680
13900,649.12,624,683
14000,650.96,624,685
14100,653.01,626,686
14200,655.16,626,689
14300,656.92,629,689
14400,658.63,632,691
14500,660.45,634,694
14600,662.47,636,695
14700,664.58,639,697
14800,666.49,640,699
14900,668.28,642,700
15000,670.27,644,704
15100,672.14,647,708
15200,673.86,649,709
15300,675.6,652,711
15400,677.38,653,713
15500,679.44,654,715
15600,681.54,658,716
15700,683.69,660,719
15800,685.29,664,721
15900,687.3,664,723
16000,689.16,666,723
16100,691.03,666,724
16200,692.77,670,727
16300,694.62,673,728
16400,696.33,673,728
16500,697.99,676,729
16600,699.86,676,731
16700,701.63,678,733
16800,703.14,680,736
16900,704.96,682,739
17000,706.56,682,739
17100,708.24,686,742
17200,709.99,686,745
17300,711.69,687,749
17400,713.43,690,751
17500,715.04,690,751
17600,716.7,692,753
17700,718.46,694,757
17800,720.13,694,758
17900,721.95,696,761
18000,723.62,696,762
18100,725.27,697,763
18200,726.86,700,764
18300,728.64,702,770
18400,730.23,705,772
18500,732.1,706,774
18600,733.7,707,774
18700,735.51,709,775
18800,737.69,710,777
18900,739.3,713,779
19000,740.94,713,781
19100,742.77,713,781
19200,744.24,714,781
19300,745.88,715,782
19400,747.47,719,786
19500,749.11,722,786
19600,750.79,723,787
19700,752.69,727,788
19800,754.33,729,791
19900,755.78,731,791
20000,757.41,735,793
20100,758.92,737,796
20200,760.49,738,796
20300,762.39,740,798
20400,763.75,741,799
20500,765.37,744,801
20600,766.88,746,802
20700,768.33,748,802
20800,769.92,749,805
20900,771.37,750,806
