0,a,b,c
18100,3.4453,3.4077,3.4836
18200,3.4452,3.4077,3.483
18300,3.4455,3.4087,3.4809
18400,3.4458,3.4086,3.4802
18500,3.4461,3.4089,3.4794
18600,3.4464,3.4071,3.4804
18700,3.4466,3.4064,3.4815
18800,3.4468,3.4062,3.4809
18900,3.4468,3.4085,3.4792
19000,3.4469,3.4072,3.4798
19100,3.447,3.4077,3.4791
19200,3.4471,3.4093,3.4806
19300,3.4471,3.4102,3.4803
19400,3.4471,3.4107,3.4813
19500,3.4471,3.4092,3.4825
19600,3.4473,3.4088,3.4842
19700,3.4474,3.4082,3.4838
19800,3.4478,3.41,3.481
19900,3.4479,3.4113,3.4807
20000,3.4481,3.4118,3.4801
20100,3.4482,3.4127,3.4812
20200,3.4482,3.4132,3.4799
20300,3.4483,3.4157,3.4792
20400,3.4485,3.4149,3.4797
20500,3.4486,3.4148,3.4804
20600,3.4488,3.4157,3.4807
20700,3.4489,3.4166,3.4802
20800,3.4489,3.4162,3.4789
20900,3.4492,3.4174,3.4779
21000,3.4492,3.416,3.4777
21100,3.4494,3.4156,3.4792
21200,3.4495,3.4156,3.479
21300,3.4494,3.4141,3.4796
21400,3.4496,3.415,3.4792
21500,3.4499,3.4151,3.4788
21600,3.4501,3.4164,3.4787
21700,3.4503,3.4158,3.4802
21800,3.4505,3.4164,3.4811
21900,3.4507,3.4168,3.4807
22000,3.4508,3.4154,3.4817
22100,3.4508,3.4155,3.481
22200,3.4509,3.4148,3.4807
22300,3.4509,3.4153,3.482
22400,3.4509,3.4167,3.4823
22500,3.4509,3.4165,3.4826
22600,3.451,3.4164,3.4817
22700,3.4509,3.4174,3.4808
22800,3.451,3.4173,3.479
22900,3.4512,3.418,3.4817
23000,3.4515,3.4177,3.4819
23100,3.4517,3.4192,3.4808
23200,3.4518,3.4172,3.4816
23300,3.452,3.4172,3.4818
23400,3.4521,3.4173,3.4819
23500,3.4521,3.4179,3.4809
23600,3.4521,3.418,3.4826
23700,3.4522,3.4182,3.4825
23800,3.4521,3.4196,3.4827
23900,3.4522,3.4194,3.4846
24000,3.4522,3.4176,3.4832
24100,3.4522,3.4171,3.483
24200,3.4523,3.4184,3.4815
24300,3.4525,3.4188,3.4809
24400,3.4526,3.4195,3.4819
24500,3.4527,3.4188,3.4804
24600,3.4529,3.42,3.4806
24700,3.4529,3.4199,3.4808
24800,3.453,3.4189,3.4796
24900,3.453,3.4204,3.4794
25000,3.4532,3.4219,3.4799
25100,3.4534,3.4229,3.4823
25200,3.4536,3.4231,3.4813
25300,3.4539,3.4221,3.4824
25400,3.4539,3.4227,3.4826
25500,3.4539,3.4211,3.4823
25600,3.4539,3.4214,3.4812
25700,3.454,3.4213,3.4803
25800,3.4541,3.4212,3.4807
25900,3.4544,3.4205,3.4795
26000,3.4543,3.4205,3.4804
26100,3.4544,3.4228,3.4798
26200,3.4542,3.4251,3.4798
26300,3.4544,3.4242,3.4798
26400,3.4542,3.425,3.4798
26500,3.4543,3.426,3.4794
26600,3.4544,3.4256,3.4801
26700,3.4545,3.426,3.4813
26800,3.4546,3.4261,3.4808
26900,3.4545,3.4258,3.4806
27000,3.4546,3.4264,3.4815
27100,3.4547,3.4245,3.4834
27200,3.455,3.4241,3.4845
27300,3.4549,3.4253,3.4831
27400,3.4549,3.4249,3.4822
27500,3.455,3.4238,3.4822
27600,3.455,3.4237,3.4818
27700,3.4551,3.423,3.4817
27800,3.4551,3.4231,3.481
27900,3.4553,3.4235,3.4804
28000,3.4554,3.4237,3.4808
28100,3.4557,3.424,3.4812
28200,3.4557,3.4234,3.4817
28300,3.4557,3.4226,3.4815
28400,3.4558,3.4209,3.4812
28500,3.4558,3.4219,3.4819
28600,3.4559,3.4226,3.4827
28700,3.4561,3.4244,3.4826
28800,3.456,3.4235,3.4837
28900,3.4561,3.424,3.4826
29000,3.456,3.4249,3.4823
29100,3.4561,3.426,3.4814
29200,3.4563,3.4251,3.4811
29300,3.4563,3.4243,3.4818
29400,3.4564,3.4229,3.4826
29500,3.4566,3.4227,3.4837
29600,3.4567,3.4237,3.4828
29700,3.4566,3.424,3.4837
29800,3.4566,3.4236,3.483
29900,3.4568,3.4241,3.4841
30000,3.4568,3.4235,3.4828
30100,3.4569,3.4241,3.4817
30200,3.457,3.4243,3.483
30300,3.4571,3.425,3.4823
30400,3.4572,3.4263,3.4826
30500,3.4572,3.4262,3.4818
30600,3.4573,3.4259,3.4818
30700,3.4573,3.4263,3.4824
30800,3.4573,3.4261,3.4812
30900,3.4573,3.4271,3.4808
31000,3.4574,3.4272,3.4816
31100,3.4576,3.4271,3.4819
31200,3.4576,3.4269,3.4821
31300,3.4578,3.4264,3.4821
31400,3.4579,3.4275,3.4817
31500,3.458,3.4272,3.483
31600,3.458,3.4258,3.4835
31700,3.458,3.425,3.4838
31800,3.4581,3.4251,3.4837
31900,3.4582,3.4252,3.484
32000,3.4584,3.4249,3.4843
32100,3.4584,3.4251,3.4845
32200,3.4585,3.4256,3.4858
32300,3.4584,3.4261,3.4856
32400,3.4585,3.4255,3.4859
32500,3.4585,3.4261,3.4851
32600,3.4585,3.4267,3.4854
32700,3.4586,3.4271,3.4864
32800,3.4585,3.4275,3.4863
32900,3.4585,3.4277,3.4849
33000,3.4585,3.4282,3.485
33100,3.4585,3.4284,3.4829
33200,3.4586,3.4274,3.4825
33300,3.4587,3.4272,3.4829
33400,3.4587,3.4266,3.4835
33500,3.4587,3.4269,3.4836
33600,3.4587,3.4258,3.4833
33700,3.4588,3.4265,3.483
33800,3.4587,3.427,3.4829
33900,3.4587,3.4288,3.4823
34000,3.4587,3.4297,3.4826
34100,3.4586,3.4282,3.4819
34200,3.4588,3.429,3.4824
34300,3.4589,3.4286,3.483
34400,3.4588,3.4295,3.4825
34500,3.4589,3.4296,3.4817
34600,3.4589,3.4303,3.4813
34700,3.459,3.4322,3.482
34800,3.4592,3.4309,3.4832
34900,3.4592,3.4312,3.484
35000,3.4591,3.4312,3.4824
35100,3.459,3.4314,3.4837
35200,3.459,3.4329,3.4828
35300,3.4591,3.4332,3.4821
35400,3.4589,3.4324,3.4809
35500,3.459,3.4325,3.4825
35600,3.459,3.4324,3.4828
35700,3.4591,3.4325,3.4832
35800,3.4593,3.4314,3.482
35900,3.4593,3.4309,3.4821
36000,3.4593,3.4312,3.4816
36100,3.4594,3.4309,3.4814
36200,3.4594,3.4314,3.4822
36300,3.4596,3.4324,3.4825
36400,3.4596,3.4323,3.482
36500,3.4597,3.4327,3.4821
36600,3.4599,3.4328,3.4827
36700,3.4599,3.433,3.4828
36800,3.4599,3.4347,3.4827
36900,3.46,3.4347,3.4829
37000,3.4598,3.4335,3.4828
37100,3.4598,3.4338,3.4824
37200,3.4599,3.4336,3.4822
37300,3.4598,3.4339,3.4816
37400,3.46,3.4341,3.4827
37500,3.4601,3.4339,3.4829
37600,3.4601,3.4345,3.4831
37700,3.4602,3.4348,3.4823
37800,3.4602,3.4345,3.4827
37900,3.4603,3.4331,3.483
38000,3.4603,3.4348,3.4822
38100,3.4603,3.4363,3.4832
38200,3.4603,3.4364,3.4825
38300,3.4603,3.4362,3.4833
38400,3.4604,3.4363,3.4823
38500,3.4605,3.4359,3.4821
38600,3.4605,3.4347,3.4825
38700,3.4605,3.435,3.4817
38800,3.4606,3.4346,3.4826
38900,3.4606,3.4349,3.4829
39000,3.4606,3.4351,3.4823
39100,3.4607,3.4354,3.4835
39200,3.4608,3.4351,3.4833
39300,3.4608,3.4359,3.4833
39400,3.4608,3.4352,3.4829
39500,3.4608,3.4351,3.4827
39600,3.461,3.4358,3.4835
39700,3.461,3.4357,3.484
39800,3.4611,3.4356,3.4837
39900,3.4613,3.4365,3.4831
40000,3.4612,3.4364,3.4833
40100,3.4612,3.4373,3.4828
40200,3.4612,3.4376,3.4825
40300,3.4613,3.4383,3.4819
40400,3.4614,3.4386,3.4821
40500,3.4614,3.4386,3.4819
40600,3.4614,3.4381,3.4815
40700,3.4613,3.4383,3.4817
40800,3.4614,3.4388,3.4817
40900,3.4614,3.4382,3.4818
41000,3.4615,3.4394,3.4828
41100,3.4615,3.4384,3.4833
41200,3.4616,3.4393,3.4833
41300,3.4616,3.4399,3.484
41400,3.4617,3.4395,3.4835
41500,3.4617,3.4397,3.4827
41600,3.4617,3.4388,3.4822
41700,3.4618,3.4388,3.4834
41800,3.4619,3.4385,3.4828
41900,3.462,3.438,3.4825
42000,3.4619,3.4378,3.4831
42100,3.4619,3.4376,3.4837
42200,3.4619,3.438,3.4836
42300,3.4619,3.4385,3.4836
42400,3.4619,3.4376,3.4838
42500,3.4619,3.4378,3.4847
42600,3.462,3.4378,3.4843
42700,3.462,3.4362,3.484
42800,3.462,3.4369,3.4847
42900,3.4621,3.4368,3.485
43000,3.4621,3.4368,3.4849
43100,3.4622,3.4377,3.4852
43200,3.4622,3.4383,3.4851
43300,3.4622,3.439,3.4856
43400,3.4623,3.44,3.4851
43500,3.4623,3.4404,3.4852
43600,3.4622,3.441,3.4851
43700,3.4622,3.441,3.4847
43800,3.4624,3.4405,3.4845
43900,3.4624,3.4402,3.4857
44000,3.4624,3.4406,3.4857
44100,3.4623,3.4398,3.4849
44200,3.4624,3.44,3.4849
44300,3.4623,3.4398,3.4841
44400,3.4624,3.4397,3.4844
44500,3.4623,3.4403,3.4836
44600,3.4624,3.4409,3.4842
44700,3.4624,3.4411,3.4837
44800,3.4623,3.4416,3.4827
44900,3.4625,3.4408,3.4821
45000,3.4625,3.4411,3.4833
45100,3.4625,3.441,3.483
45200,3.4625,3.441,3.4838
45300,3.4625,3.4417,3.484
45400,3.4625,3.4419,3.4841
45500,3.4625,3.4419,3.4837
45600,3.4626,3.4415,3.4834
45700,3.4627,3.4412,3.4823
45800,3.4627,3.4409,3.4814
45900,3.4627,3.4415,3.4811
46000,3.4628,3.4419,3.4818
46100,3.4629,3.4417,3.4816
46200,3.4629,3.4415,3.4815
46300,3.463,3.4414,3.4823
46400,3.4629,3.4408,3.4818
46500,3.463,3.4404,3.4823
46600,3.463,3.4401,3.4818
46700,3.4629,3.4408,3.482
46800,3.4629,3.441,3.4813
46900,3.463,3.4404,3.4813
47000,3.4629,3.4402,3.4821
47100,3.463,3.44,3.4832
47200,3.4629,3.441,3.4831
47300,3.463,3.4408,3.483
47400,3.4631,3.4405,3.4827
47500,3.4631,3.44,3.4833
47600,3.4631,3.4394,3.4832
47700,3.4631,3.4398,3.483
47800,3.4631,3.4399,3.4831
47900,3.4632,3.4392,3.4827
48000,3.4632,3.4401,3.4822
48100,3.4632,3.4396,3.4831
48200,3.4633,3.4406,3.4832
48300,3.4633,3.4404,3.4829
48400,3.4634,3.4411,3.483
48500,3.4634,3.4408,3.4832
48600,3.4634,3.4405,3.4837
48700,3.4635,3.441,3.4839
48800,3.4636,3.4399,3.4842
48900,3.4636,3.4406,3.4837
49000,3.4636,3.4405,3.4836
49100,3.4637,3.4411,3.4836
49200,3.4636,3.4413,3.4834
49300,3.4636,3.4406,3.4832
49400,3.4636,3.4406,3.4831
49500,3.4637,3.4407,3.4839
49600,3.4636,3.4416,3.4842
49700,3.4637,3.4408,3.4841
49800,3.4637,3.4407,3.4841
49900,3.4637,3.4416,3.4832
50000,3.4637,3.4409,3.4833
50100,3.4637,3.4413,3.4834
50200,3.4637,3.4411,3.4839
50300,3.4636,3.4415,3.4836
50400,3.4636,3.4409,3.4833
50500,3.4636,3.4408,3.4835
50600,3.4636,3.4403,3.483
50700,3.4636,3.44,3.4827
50800,3.4636,3.4394,3.4819
50900,3.4636,3.4381,3.4818
51000,3.4636,3.4387,3.4819
51100,3.4637,3.4392,3.4817
51200,3.4636,3.4389,3.4825
51300,3.4637,3.4388,3.4832
51400,3.4637,3.4389,3.4826
51500,3.4637,3.4389,3.4826
51600,3.4638,3.4389,3.4827
51700,3.4639,3.4383,3.4826
51800,3.464,3.4387,3.4828
51900,3.4641,3.4381,3.483
52000,3.4641,3.4381,3.4832
52100,3.4642,3.4374,3.4831
52200,3.4643,3.4376,3.4836
52300,3.4644,3.438,3.4834
52400,3.4644,3.4387,3.4828
52500,3.4644,3.4386,3.4827
52600,3.4644,3.439,3.483
52700,3.4645,3.4389,3.4831
52800,3.4645,3.439,3.4828
52900,3.4644,3.4383,3.4825
53000,3.4645,3.4387,3.4826
53100,3.4645,3.4396,3.4829
53200,3.4644,3.4393,3.4828
53300,3.4645,3.4392,3.4823
53400,3.4645,3.4399,3.4823
53500,3.4646,3.4399,3.4823
53600,3.4645,3.4398,3.4821
53700,3.4645,3.4392,3.4816
53800,3.4646,3.44,3.4822
53900,3.4647,3.4401,3.4823
54000,3.4647,3.4403,3.4823
54100,3.4647,3.4405,3.4827
54200,3.4647,3.4413,3.4815
54300,3.4648,3.4418,3.4818
54400,3.4647,3.442,3.4818
54500,3.4647,3.4412,3.4822
54600,3.4647,3.4412,3.4818
54700,3.4648,3.4416,3.4819
54800,3.4648,3.441,3.4823
54900,3.4649,3.4404,3.4823
55000,3.4648,3.44,3.4828
55100,3.4649,3.4395,3.4827
55200,3.4649,3.4393,3.4832
55300,3.4649,3.4402,3.4836
55400,3.4649,3.4406,3.484
55500,3.4649,3.441,3.4845
55600,3.4649,3.4408,3.4841
55700,3.465,3.4409,3.4844
55800,3.4649,3.4412,3.484
55900,3.465,3.4409,3.4845
56000,3.465,3.4413,3.4848
56100,3.4651,3.4418,3.4845
56200,3.4652,3.4424,3.4848
56300,3.4653,3.4421,3.4847
56400,3.4653,3.442,3.4853
56500,3.4653,3.4423,3.4858
56600,3.4652,3.4415,3.4851
56700,3.4652,3.4411,3.4852
56800,3.4653,3.4417,3.4849
56900,3.4653,3.4419,3.4854
57000,3.4652,3.4422,3.4847
57100,3.4652,3.4428,3.485
57200,3.4653,3.4426,3.4852
57300,3.4653,3.4423,3.4854
57400,3.4653,3.4417,3.4856
57500,3.4653,3.4416,3.4857
57600,3.4653,3.4412,3.4859
57700,3.4652,3.4416,3.4857
57800,3.4653,3.4416,3.4865
57900,3.4653,3.4418,3.4863
58000,3.4654,3.442,3.4868
58100,3.4653,3.4425,3.4867
58200,3.4653,3.4426,3.4866
58300,3.4653,3.4421,3.4862
58400,3.4652,3.4418,3.4859
58500,3.4653,3.4424,3.4863
58600,3.4653,3.443,3.4856
58700,3.4653,3.4435,3.4855
58800,3.4653,3.4434,3.4856
58900,3.4653,3.4451,3.485
59000,3.4654,3.4451,3.4859
59100,3.4653,3.445,3.4851
59200,3.4654,3.4453,3.4843
59300,3.4652,3.4451,3.484
59400,3.4654,3.4458,3.4835
59500,3.4654,3.4455,3.4847
59600,3.4654,3.4453,3.4848
59700,3.4654,3.4453,3.4842
59800,3.4654,3.4457,3.4836
59900,3.4655,3.4463,3.4842
60000,3.4655,3.4457,3.4848
60100,3.4655,3.4452,3.4852
60200,3.4656,3.4452,3.4848
60300,3.4656,3.4445,3.4845
60400,3.4656,3.4452,3.4839
60500,3.4656,3.445,3.4835
60600,3.4656,3.4449,3.4839
60700,3.4656,3.4449,3.4832
60800,3.4656,3.4449,3.4836
60900,3.4657,3.4452,3.4836
61000,3.4658,3.4455,3.4838
61100,3.4658,3.4448,3.4837
61200,3.4657,3.4453,3.4834
61300,3.4658,3.4455,3.4835
61400,3.4658,3.4453,3.484
61500,3.4658,3.4448,3.4844
61600,3.4659,3.4458,3.4846
61700,3.4658,3.4461,3.4846
61800,3.4659,3.4462,3.4843
61900,3.4659,3.446,3.4845
62000,3.4659,3.4464,3.4847
62100,3.4659,3.4465,3.4848
62200,3.466,3.4465,3.4848
62300,3.4661,3.4465,3.4853
62400,3.4661,3.4465,3.4848
62500,3.4661,3.4469,3.4847
62600,3.4662,3.4471,3.4842
62700,3.4662,3.4467,3.4839
62800,3.4662,3.4466,3.4836
62900,3.4662,3.447,3.4829
63000,3.4662,3.4468,3.4826
63100,3.4662,3.4468,3.4825
63200,3.4663,3.4468,3.4826
63300,3.4663,3.4465,3.4826
63400,3.4663,3.4463,3.4823
63500,3.4664,3.4456,3.483
63600,3.4664,3.4459,3.4832
63700,3.4664,3.4457,3.4836
