0,a,b,c
79000,3.4688,3.4522,3.4827
79100,3.4688,3.4522,3.4826
79200,3.4688,3.4525,3.4824
79300,3.4688,3.452,3.4828
79400,3.4688,3.4522,3.4825
79500,3.4689,3.4526,3.4827
79600,3.4689,3.4528,3.4825
79700,3.469,3.4528,3.4826
79800,3.469,3.4532,3.4828
79900,3.469,3.4526,3.483
80000,3.4691,3.4527,3.4831
80100,3.4691,3.4527,3.4829
80200,3.4692,3.4532,3.4825
80300,3.4691,3.4531,3.4827
80400,3.4692,3.453,3.483
80500,3.4691,3.4531,3.4829
80600,3.4692,3.4531,3.4832
80700,3.4693,3.4533,3.4835
80800,3.4693,3.4533,3.4834
80900,3.4693,3.4536,3.4832
81000,3.4694,3.4534,3.4833
81100,3.4694,3.4532,3.4831
81200,3.4694,3.4533,3.483
81300,3.4694,3.4535,3.483
81400,3.4694,3.4535,3.4827
81500,3.4695,3.4532,3.4827
81600,3.4695,3.4533,3.4832
81700,3.4695,3.4532,3.4833
81800,3.4696,3.4533,3.4832
81900,3.4695,3.4532,3.4832
82000,3.4695,3.4532,3.4835
82100,3.4695,3.4536,3.4839
82200,3.4695,3.4543,3.4836
82300,3.4695,3.4545,3.4837
82400,3.4695,3.4543,3.4838
82500,3.4696,3.4545,3.4838
82600,3.4696,3.454,3.4841
82700,3.4696,3.4545,3.4841
82800,3.4697,3.4545,3.4836
82900,3.4696,3.4544,3.4835
83000,3.4697,3.454,3.4839
83100,3.4697,3.4537,3.4845
83200,3.4697,3.4533,3.4843
83300,3.4697,3.453,3.4843
83400,3.4698,3.4528,3.4843
83500,3.4698,3.4533,3.4845
83600,3.4698,3.4533,3.4846
83700,3.4698,3.453,3.4848
83800,3.4698,3.4531,3.4846
83900,3.4698,3.4534,3.4851
84000,3.4698,3.4535,3.4851
84100,3.4698,3.4531,3.4847
84200,3.4698,3.4533,3.4843
84300,3.4698,3.453,3.4848
84400,3.4698,3.4533,3.4851
84500,3.4698,3.4532,3.4846
84600,3.4698,3.4535,3.4847
84700,3.4699,3.4538,3.4848
84800,3.4699,3.4538,3.4841
84900,3.4699,3.4537,3.4843
85000,3.47,3.4539,3.4842
85100,3.47,3.4533,3.4844
85200,3.47,3.4534,3.484
85300,3.47,3.4534,3.484
85400,3.4701,3.4533,3.4838
85500,3.4701,3.454,3.484
85600,3.4702,3.4541,3.4843
85700,3.4702,3.4546,3.4841
85800,3.4702,3.4543,3.4842
85900,3.4702,3.4549,3.4839
86000,3.4703,3.455,3.4846
86100,3.4703,3.4548,3.4844
86200,3.4703,3.4554,3.4843
86300,3.4703,3.4555,3.4848
86400,3.4703,3.4556,3.4844
86500,3.4703,3.4557,3.4846
86600,3.4703,3.4556,3.4844
86700,3.4703,3.4556,3.4845
86800,3.4703,3.4556,3.4845
86900,3.4703,3.4562,3.4847
87000,3.4702,3.4566,3.4846
87100,3.4703,3.4564,3.4847
87200,3.4703,3.4565,3.4844
87300,3.4703,3.4564,3.4848
87400,3.4704,3.4566,3.4847
87500,3.4704,3.4567,3.4848
87600,3.4703,3.4563,3.4844
87700,3.4703,3.4561,3.4845
87800,3.4703,3.4563,3.4842
87900,3.4703,3.4557,3.4844
88000,3.4703,3.4556,3.4845
88100,3.4704,3.4554,3.4847
88200,3.4704,3.4554,3.4846
88300,3.4704,3.4555,3.4844
88400,3.4704,3.4556,3.4844
88500,3.4704,3.4559,3.4848
88600,3.4704,3.4557,3.485
88700,3.4704,3.4552,3.485
88800,3.4704,3.455,3.4847
88900,3.4704,3.4549,3.4846
89000,3.4704,3.4554,3.4845
89100,3.4704,3.4556,3.4847
89200,3.4704,3.4552,3.4847
89300,3.4704,3.4556,3.4843
89400,3.4704,3.456,3.4847
89500,3.4704,3.456,3.4842
89600,3.4705,3.4561,3.4845
89700,3.4704,3.4559,3.4844
89800,3.4704,3.456,3.4843
89900,3.4704,3.4555,3.4846
90000,3.4704,3.4556,3.4845
90100,3.4705,3.4557,3.4844
90200,3.4706,3.4561,3.4842
90300,3.4706,3.4564,3.4843
90400,3.4706,3.4562,3.4844
90500,3.4707,3.4562,3.4846
90600,3.4707,3.4562,3.4841
90700,3.4707,3.4559,3.4837
90800,3.4707,3.4561,3.4844
90900,3.4707,3.4561,3.4844
91000,3.4708,3.4561,3.4847
91100,3.4708,3.4561,3.4844
91200,3.4708,3.4559,3.4848
91300,3.4709,3.4554,3.4848
91400,3.4709,3.4558,3.485
91500,3.4709,3.4561,3.4854
91600,3.471,3.4556,3.4855
91700,3.4709,3.456,3.4855
91800,3.4709,3.4556,3.4853
91900,3.471,3.4561,3.485
92000,3.4709,3.4557,3.4852
92100,3.471,3.4556,3.4861
92200,3.471,3.4555,3.4864
92300,3.471,3.4553,3.4864
92400,3.471,3.4554,3.4864
92500,3.471,3.4555,3.4861
92600,3.471,3.4552,3.4856
92700,3.471,3.4557,3.4856
92800,3.471,3.4557,3.4853
92900,3.4711,3.4553,3.4851
93000,3.471,3.4554,3.485
93100,3.471,3.4556,3.4852
93200,3.4711,3.4565,3.4848
93300,3.4711,3.4567,3.4853
93400,3.4711,3.4564,3.4854
93500,3.471,3.4568,3.4853
93600,3.4711,3.4571,3.485
93700,3.4711,3.4571,3.4851
93800,3.471,3.4573,3.4851
93900,3.4711,3.4573,3.4851
94000,3.4711,3.4573,3.4848
94100,3.4712,3.4575,3.485
94200,3.4712,3.4573,3.4854
94300,3.4712,3.4575,3.4852
94400,3.4712,3.4571,3.4855
94500,3.4712,3.4575,3.4852
94600,3.4712,3.4574,3.4858
94700,3.4712,3.4575,3.4857
94800,3.4712,3.4573,3.4856
94900,3.4712,3.4575,3.4859
95000,3.4713,3.4575,3.4856
95100,3.4713,3.4574,3.4854
95200,3.4713,3.4577,3.4858
95300,3.4713,3.4574,3.4854
95400,3.4713,3.4576,3.4855
95500,3.4713,3.4574,3.4852
95600,3.4713,3.4569,3.4851
95700,3.4713,3.4569,3.4855
95800,3.4713,3.4567,3.4861
95900,3.4712,3.4569,3.486
96000,3.4712,3.4568,3.4861
96100,3.4713,3.4567,3.4861
96200,3.4713,3.4567,3.4864
96300,3.4713,3.457,3.4863
96400,3.4713,3.4568,3.4863
96500,3.4713,3.4574,3.4864
96600,3.4713,3.4576,3.4861
96700,3.4713,3.4576,3.486
96800,3.4713,3.4575,3.4859
96900,3.4713,3.4575,3.4857
97000,3.4713,3.4575,3.4854
97100,3.4713,3.4573,3.4857
97200,3.4714,3.4571,3.4854
97300,3.4714,3.4571,3.4855
97400,3.4714,3.4567,3.4855
97500,3.4715,3.457,3.4858
97600,3.4715,3.4568,3.4861
97700,3.4714,3.4571,3.4861
97800,3.4715,3.4573,3.4861
97900,3.4715,3.4574,3.4859
98000,3.4715,3.4573,3.486
98100,3.4715,3.4573,3.4857
98200,3.4715,3.4575,3.4856
98300,3.4715,3.4573,3.4854
98400,3.4716,3.4571,3.4856
98500,3.4716,3.457,3.4851
98600,3.4715,3.4573,3.4851
98700,3.4716,3.4571,3.4849
98800,3.4716,3.4573,3.4851
98900,3.4717,3.4574,3.4849
99000,3.4717,3.4582,3.4851
99100,3.4717,3.4585,3.4849
99200,3.4717,3.4582,3.4844
99300,3.4717,3.4581,3.484
99400,3.4717,3.458,3.484
99500,3.4717,3.4581,3.4838
99600,3.4717,3.4583,3.4838
99700,3.4717,3.4586,3.484
99800,3.4717,3.4582,3.4838
99900,3.4717,3.4586,3.4842
100000,3.4717,3.4585,3.4839
100100,3.4718,3.4588,3.4844
100200,3.4718,3.4587,3.4848
100300,3.4717,3.4584,3.4846
100400,3.4717,3.4587,3.4848
100500,3.4717,3.4585,3.485
100600,3.4717,3.4586,3.4853
100700,3.4717,3.4585,3.4851
100800,3.4718,3.4583,3.4849
100900,3.4718,3.458,3.4846
101000,3.4718,3.4578,3.4848
101100,3.4718,3.4579,3.4848
101200,3.4718,3.4575,3.4848
101300,3.4718,3.4577,3.4849
101400,3.4718,3.4577,3.4848
101500,3.4719,3.458,3.4848
101600,3.4719,3.4585,3.4849
101700,3.4719,3.4586,3.4846
101800,3.4719,3.4588,3.4848
101900,3.4719,3.4588,3.4844
102000,3.4719,3.4591,3.4846
102100,3.472,3.4589,3.4849
102200,3.4719,3.4586,3.4846
102300,3.4719,3.4583,3.4846
102400,3.4719,3.4583,3.4847
102500,3.472,3.4585,3.4844
102600,3.4719,3.4579,3.4844
102700,3.4719,3.4578,3.4847
102800,3.4719,3.4574,3.4844
102900,3.4718,3.4572,3.4842
103000,3.4718,3.4571,3.484
103100,3.4718,3.4573,3.4841
103200,3.4718,3.4572,3.4835
103300,3.4718,3.4571,3.4833
103400,3.4718,3.4575,3.4836
103500,3.4718,3.4578,3.4841
103600,3.4718,3.4575,3.4843
103700,3.4718,3.4572,3.4842
103800,3.4718,3.4571,3.4841
103900,3.4718,3.4571,3.4842
104000,3.4718,3.457,3.4842
104100,3.4718,3.4572,3.4839
104200,3.4718,3.4571,3.4838
104300,3.4719,3.4574,3.4838
104400,3.4719,3.4573,3.4838
104500,3.4719,3.4578,3.4838
104600,3.4719,3.4572,3.4835
104700,3.4719,3.4572,3.4834
104800,3.4719,3.4571,3.4831
104900,3.4719,3.4571,3.4829
105000,3.472,3.4571,3.4833
105100,3.472,3.4573,3.4834
105200,3.472,3.4572,3.4833
105300,3.472,3.4576,3.4834
105400,3.472,3.4579,3.4834
105500,3.4721,3.458,3.483
105600,3.4721,3.4582,3.4832
105700,3.472,3.4583,3.4831
105800,3.472,3.4583,3.4829
105900,3.472,3.4579,3.4827
106000,3.472,3.4578,3.4827
106100,3.472,3.4575,3.483
106200,3.472,3.4577,3.483
106300,3.4721,3.4575,3.4827
106400,3.4721,3.4576,3.4828
106500,3.4721,3.4572,3.4828
106600,3.4721,3.4571,3.4828
106700,3.4721,3.4567,3.4828
106800,3.4721,3.4565,3.4824
106900,3.4721,3.4568,3.4826
107000,3.4721,3.4566,3.483
107100,3.4721,3.4561,3.4826
107200,3.472,3.4561,3.4828
107300,3.4721,3.456,3.4827
107400,3.4721,3.4563,3.4826
107500,3.4721,3.4561,3.4824
107600,3.4721,3.4559,3.4828
107700,3.4721,3.4559,3.4829
107800,3.472,3.4558,3.483
107900,3.4721,3.4556,3.4832
108000,3.4721,3.4555,3.4832
108100,3.4721,3.4557,3.4832
108200,3.4721,3.4561,3.4833
108300,3.4721,3.4563,3.4831
108400,3.4722,3.4568,3.4834
108500,3.4722,3.457,3.483
108600,3.4722,3.4572,3.4828
108700,3.4722,3.4571,3.4828
108800,3.4721,3.457,3.4831
108900,3.4721,3.457,3.4827
109000,3.4722,3.4573,3.483
109100,3.4722,3.457,3.4831
109200,3.4722,3.4572,3.4829
109300,3.4722,3.4577,3.4829
109400,3.4722,3.4576,3.4829
109500,3.4722,3.4575,3.4828
109600,3.4722,3.4577,3.483
109700,3.4722,3.458,3.4829
109800,3.4722,3.4579,3.4831
109900,3.4722,3.4584,3.483
110000,3.4722,3.4585,3.483
110100,3.4722,3.4584,3.4831
110200,3.4722,3.458,3.4831
110300,3.4722,3.458,3.4831
110400,3.4722,3.4582,3.4833
110500,3.4722,3.4578,3.4834
110600,3.4722,3.4578,3.4831
110700,3.4723,3.4576,3.4829
110800,3.4723,3.4576,3.4828
110900,3.4723,3.4575,3.4825
111000,3.4723,3.4574,3.4823
111100,3.4723,3.4574,3.4825
111200,3.4723,3.4577,3.4826
111300,3.4723,3.4579,3.4824
111400,3.4722,3.4581,3.4824
111500,3.4722,3.4585,3.4824
111600,3.4722,3.4588,3.4821
111700,3.4722,3.4591,3.4823
111800,3.4722,3.4592,3.4822
111900,3.4722,3.4594,3.4824
112000,3.4722,3.4593,3.4828
112100,3.4723,3.4595,3.4828
112200,3.4723,3.4593,3.4824
112300,3.4723,3.4594,3.4825
112400,3.4723,3.4592,3.4825
112500,3.4724,3.4597,3.4823
112600,3.4723,3.4598,3.4825
112700,3.4723,3.4598,3.4825
112800,3.4722,3.4599,3.4827
112900,3.4722,3.4599,3.4829
113000,3.4722,3.46,3.4824
113100,3.4723,3.46,3.4825
113200,3.4723,3.4603,3.4823
113300,3.4723,3.4603,3.4824
113400,3.4723,3.4602,3.4827
113500,3.4723,3.4602,3.483
113600,3.4723,3.4604,3.483
113700,3.4724,3.4604,3.4829
113800,3.4724,3.4605,3.4831
113900,3.4724,3.4606,3.4831
114000,3.4724,3.4607,3.4832
114100,3.4724,3.4605,3.4835
114200,3.4724,3.4606,3.4831
114300,3.4724,3.4607,3.4836
114400,3.4725,3.4606,3.4833
114500,3.4725,3.4607,3.4836
114600,3.4725,3.4605,3.4838
114700,3.4725,3.4605,3.4838
114800,3.4724,3.4604,3.4836
114900,3.4725,3.46,3.484
115000,3.4724,3.4604,3.4841
115100,3.4725,3.4604,3.4844
115200,3.4724,3.4607,3.4842
115300,3.4724,3.4607,3.4842
115400,3.4725,3.4607,3.4843
115500,3.4725,3.4607,3.4844
115600,3.4725,3.4603,3.4846
115700,3.4725,3.4605,3.4847
115800,3.4725,3.4604,3.4842
115900,3.4725,3.4603,3.4842
116000,3.4725,3.4604,3.4843
116100,3.4725,3.46,3.4846
116200,3.4725,3.4602,3.4849
116300,3.4725,3.46,3.4851
116400,3.4726,3.4603,3.4849
116500,3.4726,3.4605,3.4849
116600,3.4726,3.4605,3.4846
116700,3.4726,3.4606,3.4844
116800,3.4726,3.4606,3.4838
116900,3.4726,3.4603,3.4836
117000,3.4726,3.46,3.4839
117100,3.4726,3.4604,3.4836
117200,3.4727,3.4606,3.4836
117300,3.4727,3.4606,3.4834
117400,3.4727,3.4604,3.4835
117500,3.4728,3.4602,3.4837
117600,3.4728,3.4602,3.4837
117700,3.4728,3.4606,3.4841
117800,3.4728,3.4607,3.4837
117900,3.4728,3.4606,3.4837
118000,3.4728,3.4607,3.4838
118100,3.4728,3.4608,3.4839
118200,3.4729,3.4607,3.4844
118300,3.4729,3.4604,3.4843
118400,3.4728,3.4602,3.4844
118500,3.4728,3.4604,3.4843
118600,3.4729,3.4605,3.4843
118700,3.4728,3.4604,3.4843
118800,3.4728,3.4606,3.4844
118900,3.4728,3.4606,3.4843
119000,3.4729,3.4606,3.4843
119100,3.4728,3.4608,3.4845
119200,3.4729,3.4608,3.4849
119300,3.4728,3.4609,3.4845
119400,3.4729,3.461,3.4848
119500,3.4729,3.4611,3.4851
119600,3.4729,3.4611,3.4854
119700,3.4728,3.4608,3.4854
119800,3.4728,3.4609,3.4855
119900,3.4729,3.4609,3.4856
120000,3.4729,3.461,3.4855
120100,3.4729,3.4609,3.4856
120200,3.4729,3.4613,3.4858
120300,3.4729,3.4611,3.4857
120400,3.473,3.4612,3.4855
120500,3.473,3.4614,3.4855
120600,3.473,3.4614,3.4856
120700,3.4731,3.4613,3.4853
120800,3.4731,3.4613,3.4852
120900,3.4731,3.4615,3.4854
121000,3.4731,3.4619,3.4854
121100,3.4731,3.4615,3.4854
121200,3.4731,3.4613,3.4853
121300,3.4731,3.4611,3.4853
121400,3.4731,3.4613,3.4855
121500,3.4731,3.4616,3.4854
121600,3.4731,3.4618,3.4853
121700,3.4731,3.4618,3.4854
121800,3.4732,3.4617,3.4853
121900,3.4732,3.462,3.4853
122000,3.4732,3.4617,3.4855
122100,3.4732,3.4617,3.4857
122200,3.4732,3.4616,3.4854
122300,3.4732,3.4617,3.4853
122400,3.4732,3.4615,3.485
122500,3.4733,3.4615,3.4847
122600,3.4733,3.4616,3.4846
122700,3.4733,3.4615,3.4844
122800,3.4733,3.4613,3.4842
122900,3.4733,3.4616,3.484
123000,3.4733,3.4615,3.4841
123100,3.4733,3.4615,3.484
123200,3.4733,3.4615,3.484
123300,3.4733,3.4618,3.4841
123400,3.4734,3.4618,3.4841
123500,3.4733,3.4619,3.4841
123600,3.4733,3.4621,3.484
123700,3.4734,3.4619,3.4838
123800,3.4734,3.4621,3.4843
123900,3.4734,3.4625,3.4843
124000,3.4734,3.4627,3.4843
124100,3.4734,3.4628,3.4844
124200,3.4734,3.4626,3.4843
124300,3.4734,3.4624,3.4846
124400,3.4735,3.4627,3.4849
124500,3.4735,3.4627,3.4844
124600,3.4735,3.4626,3.4846
124700,3.4735,3.4623,3.4847
124800,3.4734,3.4622,3.4845
124900,3.4735,3.4623,3.4848
125000,3.4735,3.4625,3.4849
125100,3.4735,3.4624,3.4846
125200,3.4735,3.4626,3.4846
125300,3.4735,3.4623,3.4845
125400,3.4735,3.4626,3.4844
125500,3.4735,3.4627,3.4843
125600,3.4735,3.4629,3.484
125700,3.4735,3.4628,3.4843
125800,3.4735,3.4628,3.4843
125900,3.4735,3.4623,3.4842
126000,3.4736,3.4624,3.4841
126100,3.4736,3.4625,3.484
126200,3.4736,3.4623,3.484
126300,3.4736,3.4624,3.4842
126400,3.4736,3.4625,3.4842
126500,3.4736,3.4626,3.4839
126600,3.4736,3.4628,3.4837
126700,3.4736,3.4627,3.4835
126800,3.4736,3.4628,3.4834
126900,3.4736,3.4627,3.4836
127000,3.4736,3.4626,3.4835
127100,3.4736,3.4625,3.4834
127200,3.4736,3.4629,3.4838
127300,3.4736,3.4628,3.4835
127400,3.4736,3.4629,3.4836
127500,3.4736,3.4629,3.4837
127600,3.4736,3.4629,3.4841
127700,3.4736,3.4632,3.4841
127800,3.4736,3.4632,3.4839
127900,3.4736,3.4631,3.4837
128000,3.4736,3.4629,3.4837
128100,3.4737,3.4629,3.484
128200,3.4737,3.4629,3.4839
128300,3.4737,3.4625,3.4836
128400,3.4737,3.4624,3.4834
128500,3.4737,3.4626,3.4835
128600,3.4737,3.4625,3.4835
128700,3.4736,3.4629,3.4834
128800,3.4737,3.463,3.4829
128900,3.4736,3.463,3.4831
129000,3.4736,3.4628,3.4833
129100,3.4736,3.4624,3.4832
129200,3.4736,3.4626,3.4834
129300,3.4737,3.4627,3.4838
129400,3.4737,3.4626,3.4837
129500,3.4737,3.4628,3.4836
129600,3.4737,3.4629,3.4833
129700,3.4737,3.4627,3.4835
129800,3.4737,3.4626,3.4837
129900,3.4737,3.4624,3.4837
130000,3.4737,3.4623,3.4834
130100,3.4737,3.4622,3.4834
130200,3.4738,3.4622,3.4837
130300,3.4738,3.4627,3.4839
130400,3.4738,3.4628,3.4838
130500,3.4738,3.4628,3.4838
130600,3.4738,3.4633,3.484
130700,3.4738,3.4632,3.484
130800,3.4738,3.4631,3.4839
130900,3.4738,3.463,3.4837
131000,3.4738,3.463,3.4835
131100,3.4739,3.4629,3.4833
131200,3.4739,3.463,3.4831
131300,3.4739,3.4629,3.4834
131400,3.4739,3.463,3.4836
131500,3.4739,3.463,3.4833
131600,3.4739,3.4633,3.4841
131700,3.4739,3.4632,3.4838
131800,3.4739,3.4631,3.4843
131900,3.4739,3.4629,3.4844
132000,3.4739,3.463,3.4843
132100,3.474,3.4629,3.4844
132200,3.4739,3.4627,3.484
132300,3.474,3.4628,3.4839
132400,3.474,3.4628,3.484
132500,3.474,3.4628,3.484
132600,3.474,3.4628,3.4838
132700,3.4741,3.4629,3.4836
132800,3.4741,3.4629,3.4836
132900,3.4741,3.463,3.4835
133000,3.4741,3.4632,3.4835
133100,3.4741,3.4634,3.4833
133200,3.4741,3.4635,3.4832
133300,3.4741,3.4632,3.4836
133400,3.4741,3.4631,3.4836
133500,3.4741,3.4631,3.4835
133600,3.4741,3.4629,3.4837
133700,3.4741,3.4627,3.4837
133800,3.4741,3.4627,3.4836
133900,3.4741,3.4627,3.4835
134000,3.4741,3.4626,3.4837
134100,3.4741,3.4625,3.4836
134200,3.4741,3.4625,3.4836
134300,3.4741,3.4625,3.4836
134400,3.4741,3.4624,3.4836
134500,3.4741,3.4621,3.4838
134600,3.4741,3.462,3.4839
134700,3.4741,3.4622,3.4838
134800,3.4741,3.4619,3.4841
134900,3.4741,3.4618,3.4843
135000,3.4741,3.4619,3.484
135100,3.4741,3.4619,3.4845
135200,3.4741,3.4618,3.4842
135300,3.4741,3.4617,3.4843
135400,3.4741,3.4613,3.4845
135500,3.4741,3.4613,3.4845
135600,3.4741,3.4613,3.4846
135700,3.4741,3.4611,3.4846
135800,3.4741,3.4616,3.4848
135900,3.4742,3.4614,3.4849
136000,3.4742,3.4615,3.485
136100,3.4742,3.4618,3.485
136200,3.4742,3.4619,3.4849
136300,3.4742,3.4618,3.4849
136400,3.4742,3.4619,3.485
136500,3.4743,3.4621,3.4852
136600,3.4743,3.4621,3.4853
136700,3.4743,3.4621,3.4854
136800,3.4743,3.4621,3.485
136900,3.4743,3.4621,3.4849
137000,3.4743,3.4621,3.4848
137100,3.4743,3.4623,3.485
137200,3.4743,3.4621,3.4848
137300,3.4743,3.4624,3.4849
137400,3.4743,3.4624,3.4848
137500,3.4743,3.4625,3.4848
137600,3.4743,3.4627,3.4849
137700,3.4743,3.4627,3.4852
137800,3.4743,3.4625,3.4851
137900,3.4743,3.4625,3.4851
138000,3.4743,3.4626,3.4849
138100,3.4744,3.463,3.4851
138200,3.4744,3.4627,3.4854
138300,3.4744,3.4627,3.4854
138400,3.4744,3.4628,3.4855
138500,3.4744,3.4627,3.4854
138600,3.4744,3.4627,3.4853
138700,3.4744,3.4627,3.4853
138800,3.4745,3.4623,3.4852
138900,3.4744,3.4625,3.4851
139000,3.4744,3.4627,3.4851
139100,3.4745,3.4625,3.4852
139200,3.4745,3.4623,3.4851
139300,3.4745,3.4625,3.485
139400,3.4745,3.4627,3.485
139500,3.4746,3.4626,3.4852
139600,3.4746,3.4627,3.485
139700,3.4746,3.4626,3.4852
139800,3.4746,3.4627,3.4851
139900,3.4746,3.4626,3.4851
140000,3.4746,3.4626,3.4852
140100,3.4746,3.4628,3.4851
140200,3.4746,3.4628,3.4852
140300,3.4746,3.4626,3.4851
140400,3.4746,3.4626,3.485
140500,3.4746,3.4628,3.4852
140600,3.4745,3.463,3.4851
140700,3.4745,3.463,3.4852
140800,3.4746,3.4628,3.4849
140900,3.4745,3.4632,3.4849
141000,3.4746,3.4634,3.4848
141100,3.4746,3.4636,3.4852
141200,3.4746,3.4636,3.4854
141300,3.4746,3.4636,3.4853
141400,3.4747,3.4636,3.4851
141500,3.4747,3.4634,3.485
141600,3.4747,3.4633,3.485
141700,3.4746,3.4631,3.4851
141800,3.4746,3.4633,3.4851
141900,3.4746,3.4633,3.4852
142000,3.4746,3.4635,3.4853
142100,3.4747,3.4636,3.4851
142200,3.4746,3.4634,3.485
142300,3.4746,3.4633,3.485
142400,3.4746,3.4636,3.4849
142500,3.4746,3.4634,3.4849
142600,3.4746,3.4636,3.4851
142700,3.4747,3.4635,3.4854
142800,3.4746,3.4634,3.4853
142900,3.4746,3.4632,3.4852
143000,3.4747,3.4631,3.4854
143100,3.4747,3.4631,3.4856
143200,3.4747,3.4629,3.4856
143300,3.4747,3.4632,3.4857
143400,3.4747,3.4629,3.4857
143500,3.4747,3.463,3.4857
143600,3.4747,3.4626,3.4855
143700,3.4747,3.4625,3.4856
143800,3.4747,3.4625,3.4855
143900,3.4747,3.4626,3.4855
144000,3.4748,3.4628,3.4855
144100,3.4748,3.4628,3.4857
144200,3.4748,3.4625,3.4856
144300,3.4748,3.4625,3.4855
144400,3.4748,3.4622,3.4852
144500,3.4747,3.4625,3.485
144600,3.4747,3.4626,3.485
144700,3.4748,3.4623,3.4853
144800,3.4747,3.4624,3.4852
144900,3.4748,3.4626,3.4851
145000,3.4748,3.4628,3.4853
145100,3.4748,3.4627,3.4851
145200,3.4748,3.4629,3.4851
145300,3.4748,3.463,3.4851
145400,3.4748,3.4629,3.4853
145500,3.4748,3.4627,3.4854
145600,3.4748,3.4629,3.4857
145700,3.4748,3.463,3.4858
145800,3.4748,3.4632,3.4862
145900,3.4748,3.4631,3.4862
146000,3.4748,3.4632,3.4862
146100,3.4748,3.4632,3.4863
146200,3.4748,3.4633,3.4862
146300,3.4748,3.4634,3.486
146400,3.4748,3.4635,3.486
146500,3.4748,3.4636,3.4861
146600,3.4748,3.4638,3.486
146700,3.4748,3.4637,3.4859
146800,3.4748,3.4638,3.4857
146900,3.4748,3.4636,3.4855
147000,3.4748,3.4634,3.4854
147100,3.4748,3.4636,3.4855
147200,3.4748,3.4635,3.4856
147300,3.4748,3.4637,3.4855
147400,3.4748,3.4636,3.4855
147500,3.4748,3.4636,3.4855
147600,3.4748,3.4637,3.4854
147700,3.4748,3.4636,3.4856
147800,3.4748,3.4636,3.4853
147900,3.4748,3.4636,3.4853
148000,3.4748,3.4636,3.4856
148100,3.4749,3.4641,3.4856
148200,3.4749,3.4641,3.4855
148300,3.4748,3.464,3.4855
148400,3.4749,3.4642,3.4858
148500,3.4749,3.4643,3.486
148600,3.4749,3.4643,3.4862
148700,3.4749,3.4641,3.4861
148800,3.4749,3.4642,3.4862
148900,3.4749,3.4642,3.486
149000,3.4749,3.4642,3.486
149100,3.475,3.4642,3.4861
149200,3.475,3.4644,3.4859
149300,3.475,3.4642,3.486
149400,3.475,3.4643,3.486
149500,3.475,3.4644,3.4859
149600,3.475,3.4647,3.486
149700,3.475,3.4646,3.4859
149800,3.475,3.4648,3.4859
149900,3.475,3.4646,3.4858
150000,3.475,3.4647,3.4859
150100,3.475,3.4649,3.486
150200,3.475,3.4648,3.4857
150300,3.475,3.465,3.4857
150400,3.475,3.4651,3.4857
150500,3.475,3.4651,3.4857
150600,3.4751,3.4651,3.4855
150700,3.4751,3.4651,3.4858
150800,3.4751,3.4654,3.4857
150900,3.4751,3.4655,3.4858
151000,3.4751,3.4653,3.4855
151100,3.4751,3.4654,3.4854
151200,3.4751,3.4655,3.4852
151300,3.4751,3.4657,3.4853
151400,3.4751,3.4656,3.4851
151500,3.4751,3.4657,3.4851
151600,3.4751,3.466,3.4851
151700,3.4751,3.466,3.4852
151800,3.4751,3.466,3.4856
151900,3.4751,3.466,3.4856
152000,3.4751,3.466,3.4853
152100,3.4751,3.4661,3.4854
152200,3.4751,3.4663,3.4857
152300,3.4752,3.4661,3.4858
152400,3.4752,3.4661,3.4856
152500,3.4752,3.466,3.4856
152600,3.4751,3.4663,3.4856
152700,3.4752,3.4664,3.4853
152800,3.4752,3.4666,3.4854
152900,3.4752,3.4668,3.4855
153000,3.4752,3.4666,3.4856
153100,3.4752,3.4666,3.4856
153200,3.4752,3.4667,3.4859
153300,3.4752,3.4664,3.4858
153400,3.4752,3.4662,3.4861
153500,3.4752,3.466,3.4864
153600,3.4752,3.466,3.4864
153700,3.4752,3.466,3.4863
153800,3.4753,3.4661,3.4862
153900,3.4752,3.466,3.4862
154000,3.4752,3.4659,3.4862
154100,3.4753,3.466,3.4861
154200,3.4753,3.4659,3.4861
154300,3.4753,3.4662,3.4861
154400,3.4753,3.4663,3.486
154500,3.4753,3.4663,3.4859
154600,3.4753,3.4663,3.4857
154700,3.4753,3.4662,3.4857
154800,3.4753,3.4661,3.4857
154900,3.4753,3.466,3.4858
155000,3.4753,3.4658,3.486
155100,3.4753,3.4656,3.486
155200,3.4753,3.4658,3.4859
155300,3.4753,3.4656,3.4857
155400,3.4753,3.4658,3.4859
155500,3.4753,3.466,3.4858
155600,3.4753,3.4661,3.4859
155700,3.4753,3.4663,3.4858
155800,3.4753,3.4662,3.4857
155900,3.4753,3.4662,3.4855
156000,3.4753,3.4661,3.4855
156100,3.4753,3.4664,3.4856
156200,3.4753,3.4662,3.4861
156300,3.4753,3.4663,3.4861
156400,3.4754,3.4662,3.4862
156500,3.4754,3.4663,3.486
156600,3.4754,3.4663,3.4859
156700,3.4754,3.4664,3.4862
156800,3.4754,3.4663,3.4863
156900,3.4754,3.4661,3.4862
157000,3.4754,3.4662,3.4862
157100,3.4755,3.4659,3.4865
157200,3.4755,3.466,3.4865
157300,3.4755,3.4661,3.4868
157400,3.4755,3.4664,3.4867
157500,3.4755,3.4662,3.4867
157600,3.4755,3.4663,3.4866
157700,3.4755,3.4663,3.4867
