numsampled,0.97,lci,hci
1,1,1,1
100,47.37,39,54
200,79.81,66,90
300,104.78,94,115
400,124.99,115,135
500,141.94,131,154
600,156.36,142,169
700,169.42,155,184
800,180.84,165,197
900,192.19,177,207
1000,202.8,188,217
1100,212.22,197,227
1200,220.48,202,237
1300,229.2,212,243
1400,236.88,220,253
1500,244.34,228,261
1600,251.88,233,270
1700,258.97,240,280
1800,265.77,246,286
1900,272.15,253,292
2000,278.43,257,302
2100,284.45,268,309
2200,290.3,271,313
2300,295.76,277,318
2400,301.31,280,322
2500,306.51,284,327
2600,311.41,294,333
2700,316.59,298,337
2800,321.71,301,342
2900,326.49,308,346
3000,331.34,313,351
3100,335.76,318,355
3200,340.75,323,361
3300,345.07,327,367
3400,349.77,333,370
3500,354.09,337,374
3600,358.2,340,376
3700,362.42,344,382
3800,366.25,345,386
3900,370.32,350,392
4000,374.46,353,394
4100,378.62,357,401
4200,382.66,362,406
4300,386.46,364,408
4400,390.21,369,411
4500,394.27,371,415
4600,397.95,374,421
4700,401.25,378,425
4800,404.97,381,428
4900,408.6,384,434
5000,411.71,388,437
5100,415.18,391,439
5200,418.41,393,441
5300,421.87,398,443
5400,425.12,401,448
5500,428.54,405,451
5600,431.82,408,455
5700,435.15,409,458
5800,438.62,414,461
5900,441.75,418,465
6000,444.86,420,466
6100,447.95,425,471
6200,450.95,427,473
6300,454.36,431,476
6400,457.26,435,479
6500,460.3,438,483
6600,463.23,442,488
6700,466.23,445,491
6800,469.32,449,491
6900,471.87,450,494
7000,474.65,455,496
7100,477.59,458,498
7200,480.46,461,500
7300,483.53,462,505
7400,486.43,465,507
7500,488.97,468,509
7600,491.72,470,510
7700,494.34,472,513
7800,497.08,475,516
7900,499.68,477,518
8000,502.62,480,523
8100,505.55,483,525
8200,508.05,486,528
8300,510.47,488,530
8400,512.85,488,532
8500,515.64,492,538
8600,518.29,494,542
8700,520.86,498,544
8800,523.17,503,546
8900,525.69,506,550
9000,528.3,508,552
9100,530.72,512,556
9200,533.15,513,557
9300,535.7,516,560
9400,538.12,517,561
9500,540.47,520,563
9600,543.03,522,567
9700,545.71,525,571
9800,548.12,526,573
9900,550.47,528,577
10000,552.78,530,579
10100,555.04,532,582
10200,557.15,534,584
