numsampled,0.97,lci,hci
1,0,0,0
100,2.4297,2.076,2.7419
200,2.6167,2.2084,2.898
300,2.7212,2.4231,2.9679
400,2.7822,2.5867,3.0026
500,2.8178,2.5701,3.0464
600,2.852,2.6457,3.0679
700,2.8764,2.6959,3.0672
800,2.9011,2.7487,3.0631
900,2.9178,2.7559,3.0831
1000,2.9305,2.7828,3.088
1100,2.9441,2.8055,3.0768
1200,2.9559,2.821,3.1064
1300,2.9646,2.8459,3.1237
1400,2.9708,2.8521,3.1127
1500,2.9789,2.8476,3.1216
1600,2.99,2.8601,3.1211
1700,2.9975,2.8664,3.1328
1800,3.0054,2.8798,3.1372
1900,3.0097,2.8793,3.1457
2000,3.013,2.8887,3.1318
2100,3.0186,2.9016,3.1267
2200,3.0216,2.9,3.1255
2300,3.0246,2.9218,3.1373
2400,3.0265,2.926,3.1297
2500,3.0284,2.9205,3.1309
2600,3.0322,2.9311,3.1424
2700,3.0343,2.936,3.1315
2800,3.0373,2.9416,3.1301
2900,3.0393,2.9504,3.1313
3000,3.0416,2.951,3.1319
3100,3.0437,2.9501,3.1278
3200,3.0464,2.9489,3.1417
3300,3.0492,2.9599,3.1484
3400,3.0511,2.9564,3.1408
3500,3.0522,2.9605,3.1311
3600,3.0542,2.9673,3.1266
3700,3.0569,2.9655,3.1237
3800,3.0583,2.9699,3.1267
3900,3.0602,2.974,3.13
4000,3.0627,2.9798,3.1357
4100,3.0645,2.9844,3.1341
4200,3.0659,2.9874,3.1461
4300,3.0673,2.987,3.1462
4400,3.0686,2.9891,3.1566
4500,3.07,2.9897,3.1569
4600,3.0708,2.991,3.1549
4700,3.0722,2.9958,3.1499
4800,3.0728,2.9915,3.15
4900,3.0723,2.9944,3.1475
5000,3.073,3.0013,3.144
5100,3.0748,3.0026,3.1414
5200,3.0754,3.0078,3.1395
5300,3.0765,3.0053,3.1365
5400,3.0778,3.0059,3.1381
5500,3.0786,3.0042,3.1445
5600,3.0798,3.0082,3.1419
5700,3.0808,3.0099,3.1435
5800,3.0811,3.0126,3.1483
5900,3.0813,3.0153,3.1538
6000,3.0827,3.0109,3.1465
6100,3.0838,3.0148,3.15
6200,3.0844,3.0217,3.1487
6300,3.0847,3.0158,3.1457
6400,3.0854,3.0177,3.1487
6500,3.0864,3.0177,3.1499
6600,3.0881,3.0144,3.1481
6700,3.0889,3.0162,3.146
6800,3.0893,3.0111,3.1504
6900,3.0893,3.0104,3.1528
7000,3.0902,3.0168,3.1522
7100,3.091,3.0177,3.1498
7200,3.0917,3.0226,3.1515
7300,3.0926,3.025,3.1483
7400,3.0937,3.0242,3.15
7500,3.0943,3.0262,3.1459
7600,3.0949,3.0313,3.1504
7700,3.0959,3.0352,3.1494
7800,3.0972,3.0375,3.1508
7900,3.0976,3.0385,3.1486
8000,3.0976,3.0398,3.1495
8100,3.0982,3.0408,3.1508
8200,3.0981,3.0421,3.1516
8300,3.0979,3.0437,3.1536
8400,3.0985,3.0454,3.1557
8500,3.0983,3.0432,3.1565
8600,3.0991,3.0473,3.158
8700,3.0998,3.0493,3.1589
8800,3.1,3.0495,3.1622
8900,3.1004,3.0471,3.1661
9000,3.1008,3.0499,3.1629
9100,3.1009,3.0471,3.1633
9200,3.1016,3.0489,3.1628
9300,3.1014,3.0448,3.1649
9400,3.1017,3.0476,3.1636
9500,3.1022,3.0478,3.1623
9600,3.1028,3.0486,3.1639
9700,3.1029,3.0486,3.1614
9800,3.1035,3.0509,3.1621
9900,3.1042,3.0529,3.1649
10000,3.1045,3.0534,3.1622
10100,3.1049,3.0577,3.1606
10200,3.1053,3.0561,3.1633
10300,3.1056,3.0545,3.1623
10400,3.1057,3.0551,3.1593
10500,3.1059,3.0565,3.1583
10600,3.106,3.0572,3.1571
10700,3.1065,3.0583,3.1557
10800,3.1071,3.0614,3.1616
10900,3.107,3.0606,3.1628
11000,3.1073,3.0655,3.1614
11100,3.1076,3.061,3.1618
11200,3.1074,3.0629,3.1604
11300,3.1074,3.0614,3.1578
11400,3.1078,3.0616,3.1578
11500,3.1082,3.0639,3.1569
11600,3.1082,3.0609,3.1598
11700,3.1081,3.0629,3.1586
11800,3.1084,3.0652,3.1592
11900,3.1087,3.0678,3.1614
12000,3.109,3.0682,3.1601
12100,3.1093,3.0678,3.1582
12200,3.1095,3.0686,3.1598
12300,3.1098,3.0706,3.1562
12400,3.1103,3.0711,3.1568
12500,3.1106,3.0705,3.1578
12600,3.1109,3.0723,3.1564
12700,3.1111,3.0704,3.1565
12800,3.1113,3.0693,3.1572
12900,3.112,3.0724,3.1582
13000,3.1124,3.0723,3.1606
13100,3.1125,3.0739,3.1602
13200,3.1126,3.0749,3.1603
13300,3.1132,3.0755,3.1614
13400,3.1132,3.0762,3.1599
13500,3.1134,3.0765,3.1599
13600,3.1139,3.0783,3.1612
13700,3.1139,3.0766,3.1608
13800,3.1141,3.0781,3.1624
13900,3.1141,3.0778,3.1639
14000,3.1145,3.0771,3.1646
14100,3.1143,3.0752,3.1654
14200,3.1147,3.078,3.1665
14300,3.1147,3.0788,3.167
14400,3.1147,3.0755,3.1683
14500,3.115,3.0783,3.1671
14600,3.1153,3.0789,3.1649
14700,3.1155,3.0799,3.1629
14800,3.1157,3.0799,3.1629
14900,3.1157,3.08,3.1623
15000,3.116,3.0813,3.16
15100,3.116,3.0807,3.1617
15200,3.1163,3.0803,3.1635
15300,3.1164,3.0801,3.1629
15400,3.1168,3.0796,3.1613
15500,3.1171,3.0817,3.1612
15600,3.1173,3.0809,3.161
15700,3.1176,3.0819,3.1649
15800,3.1177,3.0801,3.1651
15900,3.118,3.0815,3.1642
16000,3.1184,3.0843,3.163
16100,3.1187,3.0845,3.1629
16200,3.1188,3.0844,3.1621
16300,3.1188,3.0833,3.1628
16400,3.1192,3.0848,3.163
16500,3.1193,3.0859,3.1643
16600,3.1194,3.0853,3.1655
16700,3.1192,3.0875,3.1656
16800,3.1195,3.0876,3.1679
16900,3.1198,3.0873,3.1665
17000,3.1201,3.085,3.1667
17100,3.1202,3.0854,3.1681
17200,3.1204,3.0866,3.1692
17300,3.1205,3.0876,3.1688
17400,3.1206,3.0873,3.1679
17500,3.1207,3.0883,3.1682
17600,3.1209,3.088,3.1675
17700,3.1209,3.0856,3.166
17800,3.1212,3.0856,3.1665
17900,3.1213,3.0861,3.1657
18000,3.1217,3.0871,3.1643
18100,3.1219,3.0853,3.1638
18200,3.1221,3.0853,3.1646
18300,3.1222,3.0855,3.1631
18400,3.1223,3.083,3.1621
18500,3.1223,3.0837,3.162
18600,3.1224,3.0841,3.1624
18700,3.1224,3.0848,3.1603
18800,3.1223,3.0837,3.1593
18900,3.1224,3.0844,3.1592
19000,3.1223,3.0834,3.1607
19100,3.1226,3.0833,3.1611
19200,3.1226,3.0834,3.1616
19300,3.1225,3.0825,3.1614
19400,3.1225,3.0846,3.1601
19500,3.1229,3.0857,3.1621
19600,3.1233,3.0869,3.1632
19700,3.1232,3.0872,3.1626
19800,3.1232,3.0865,3.166
19900,3.1234,3.0855,3.1647
20000,3.1234,3.0855,3.1663
20100,3.1234,3.0849,3.1657
20200,3.1236,3.0874,3.1674
20300,3.1236,3.0882,3.1686
20400,3.1238,3.0884,3.1671
20500,3.124,3.0881,3.1675
20600,3.1241,3.0867,3.1672
20700,3.1244,3.0864,3.1674
20800,3.1244,3.0873,3.1656
20900,3.1245,3.0883,3.1654
21000,3.1245,3.0878,3.1635
21100,3.1246,3.089,3.1626
21200,3.1246,3.0887,3.1632
21300,3.1248,3.087,3.1645
21400,3.1248,3.0877,3.1642
21500,3.125,3.0867,3.1626
21600,3.1252,3.0861,3.1628
21700,3.1251,3.0869,3.162
21800,3.125,3.0871,3.162
21900,3.1252,3.0876,3.1636
