numsampled,0.97,lci,hci
25400,813.85,781,852
25500,815.06,782,852
25600,816.38,783,852
25700,817.76,784,853
25800,819.14,785,858
25900,820.48,786,858
26000,821.92,788,860
26100,823.18,793,862
26200,824.57,794,862
26300,826.04,795,863
26400,827.59,796,863
26500,828.86,797,864
26600,830.17,798,866
26700,831.31,798,868
26800,832.55,799,870
26900,833.85,801,872
27000,834.97,801,874
27100,836.2,804,875
27200,837.56,805,877
27300,838.84,807,877
27400,840.02,807,878
27500,841.18,809,880
27600,842.3,809,880
27700,843.48,811,881
27800,844.75,814,882
27900,846.12,816,884
28000,847.42,817,885
28100,848.79,819,885
28200,850.01,820,886
28300,851.04,820,887
28400,852.29,822,890
28500,853.68,822,892
28600,854.8,823,892
28700,856.04,826,894
28800,857.34,826,894
28900,858.73,826,894
29000,859.79,829,896
29100,860.94,829,898
29200,862.29,832,900
29300,863.58,834,901
29400,864.73,836,901
29500,865.87,836,901
29600,867.14,838,902
29700,868.04,839,903
29800,869.08,841,903
29900,870.42,842,904
30000,871.68,845,907
30100,873.11,846,908
30200,874.09,846,909
30300,875.15,848,910
30400,876.2,851,912
30500,877.3,851,912
30600,878.52,851,914
30700,879.79,851,914
30800,881.07,855,915
30900,882.3,856,915
31000,883.64,858,917
31100,884.95,859,918
31200,886.11,860,918
31300,887.39,861,919
31400,888.52,861,922
31500,889.7,862,922
31600,890.84,863,923
31700,892.03,865,923
31800,893.24,867,924
31900,894.32,868,925
32000,895.4,869,926
32100,896.66,871,927
32200,897.83,872,928
32300,899.09,873,929
32400,900.2,873,932
32500,901.36,873,932
32600,902.62,875,933
32700,903.83,876,934
32800,904.87,876,934
32900,905.93,876,938
33000,907.18,879,938
33100,908.41,881,938
33200,909.51,883,939
33300,910.57,883,940
33400,911.59,885,940
33500,912.64,885,943
33600,913.74,886,944
33700,914.96,886,945
33800,915.96,886,946
33900,916.99,887,946
34000,918.12,889,948
34100,919.1,890,949
34200,920.08,890,950
34300,921.19,891,951
34400,922.26,893,952
34500,923.26,894,953
34600,924.15,897,953
34700,925.1,898,955
34800,926.1,900,956
34900,927.34,904,957
35000,928.45,904,957
35100,929.52,905,959
35200,930.62,906,960
35300,931.76,908,962
35400,932.7,909,963
35500,933.69,910,964
35600,934.87,911,965
35700,936.04,912,966
35800,937.05,913,967
35900,938.18,913,968
36000,939.07,914,968
36100,940.12,915,969
36200,941.19,915,970
36300,942.16,916,971
36400,943.26,916,972
36500,944.38,918,974
36600,945.45,918,975
36700,946.43,920,977
36800,947.32,920,977
36900,948.48,922,979
37000,949.5,922,979
37100,950.47,924,981
37200,951.47,926,982
37300,952.49,927,984
37400,953.63,929,984
37500,954.55,930,985
37600,955.61,930,985
37700,956.5,931,987
37800,957.61,932,987
37900,958.66,932,988
38000,959.8,936,990
38100,960.88,936,990
38200,961.76,936,993
38300,962.85,937,994
38400,963.84,937,994
38500,964.91,939,994
38600,966.08,940,996
38700,967.13,940,998
38800,968.21,941,999
38900,969.02,942,999
39000,969.95,942,999
39100,970.92,942,1000
39200,971.99,944,1000
39300,972.84,946,1001
39400,973.77,947,1002
39500,974.85,948,1005
39600,975.91,950,1006
39700,976.84,950,1006
39800,977.65,951,1008
39900,978.54,951,1009
40000,979.56,952,1010
40100,980.5,954,1011
40200,981.31,957,1011
40300,982.19,957,1011
40400,983.09,958,1011
40500,984.1,958,1012
40600,985.16,960,1012
40700,986.28,961,1014
40800,987.34,961,1015
40900,988.25,961,1017
41000,989.09,961,1018
41100,990.08,961,1018
41200,990.97,964,1019
41300,991.82,964,1021
41400,992.66,965,1021
41500,993.65,965,1022
41600,994.57,965,1022
41700,995.46,966,1022
41800,996.28,968,1024
41900,997.26,969,1025
42000,998.2,969,1025
42100,999.13,971,1027
42200,1000.06,971,1029
42300,1001.1,973,1029
42400,1001.88,975,1030
42500,1002.75,977,1031
42600,1003.63,977,1032
42700,1004.54,977,1032
42800,1005.52,979,1034
42900,1006.28,979,1035
43000,1007.06,979,1036
43100,1008.01,980,1039
43200,1009.08,981,1041
43300,1010.09,982,1041
43400,1011.01,982,1042
43500,1011.91,983,1042
43600,1012.93,984,1043
43700,1013.91,986,1044
43800,1015.03,986,1044
43900,1016.01,987,1044
44000,1016.96,988,1047
44100,1017.83,990,1047
44200,1018.93,991,1047
44300,1019.83,993,1049
44400,1020.87,994,1050
44500,1021.87,995,1050
44600,1022.78,995,1051
44700,1023.39,996,1053
44800,1024.23,996,1054
44900,1025.2,998,1058
45000,1026.13,998,1059
45100,1026.86,998,1060
45200,1027.71,998,1061
45300,1028.43,999,1062
45400,1029.39,1000,1063
45500,1030.41,1000,1063
45600,1031.27,1000,1066
45700,1031.97,1001,1067
45800,1032.89,1002,1068
45900,1033.83,1002,1070
46000,1034.63,1003,1070
46100,1035.56,1004,1071
46200,1036.54,1005,1072
46300,1037.39,1006,1072
46400,1038.09,1006,1072
46500,1038.92,1007,1073
46600,1039.76,1008,1074
46700,1040.55,1008,1075
46800,1041.44,1009,1075
46900,1042.31,1010,1076
47000,1043.19,1011,1079
47100,1044.28,1013,1079
47200,1045.1,1015,1079
47300,1046.03,1016,1080
47400,1046.93,1018,1080
47500,1047.77,1018,1082
47600,1048.67,1019,1083
47700,1049.49,1020,1084
47800,1050.32,1020,1085
47900,1051.3,1021,1085
48000,1052.13,1023,1086
48100,1053,1024,1088
48200,1053.95,1024,1088
48300,1054.8,1025,1089
48400,1055.65,1025,1091
48500,1056.56,1025,1092
48600,1057.47,1025,1093
48700,1058.32,1025,1094
48800,1059.15,1028,1094
48900,1060,1028,1095
49000,1060.82,1031,1095
49100,1061.65,1031,1097
49200,1062.4,1032,1097
49300,1063.28,1033,1097
49400,1064,1033,1097
49500,1064.83,1034,1097
49600,1065.8,1034,1098
49700,1066.65,1035,1099
49800,1067.59,1035,1100
49900,1068.5,1035,1101
50000,1069.33,1037,1102
50100,1070.16,1038,1104
50200,1070.95,1038,1105
50300,1071.65,1039,1106
50400,1072.44,1040,1107
50500,1073.18,1042,1107
50600,1073.88,1042,1107
50700,1074.67,1042,1109
50800,1075.6,1043,1110
50900,1076.34,1043,1110
51000,1077.1,1045,1112
51100,1077.85,1046,1113
51200,1078.5,1047,1113
51300,1079.26,1047,1114
51400,1080.18,1047,1115
51500,1081.02,1049,1117
51600,1081.76,1052,1118
51700,1082.43,1053,1118
51800,1083.24,1055,1118
51900,1084.1,1056,1119
52000,1084.94,1057,1120
52100,1085.72,1058,1121
52200,1086.71,1060,1122
52300,1087.58,1062,1124
52400,1088.35,1064,1124
52500,1089.23,1064,1125
52600,1089.93,1064,1126
52700,1090.94,1064,1126
52800,1091.9,1067,1127
52900,1092.67,1068,1128
53000,1093.48,1070,1128
53100,1094.32,1070,1128
