numsampled,0.97,lci,hci
1,1,1,1
100,45.54,37,54
200,67.79,60,79
300,83.27,75,95
400,96.19,85,108
500,107.22,97,120
600,117.19,107,129
700,126.63,114,140
800,135.44,122,150
900,143.76,131,160
1000,151.23,136,166
1100,158.94,145,174
1200,165.74,152,183
1300,172.57,157,191
1400,179.11,164,197
1500,184.93,171,202
1600,190.65,174,208
1700,195.79,180,213
1800,201.31,186,216
1900,206.27,190,223
2000,211.41,195,228
2100,216.44,198,233
2200,221.14,201,237
2300,225.61,208,240
2400,230.55,210,247
2500,235.31,217,252
2600,239.97,220,259
2700,244.3,225,262
2800,248.56,230,266
2900,252.62,234,268
3000,256.8,241,272
3100,260.92,245,279
3200,264.53,249,282
3300,268.52,253,286
3400,272.16,255,289
3500,275.98,257,292
3600,279.79,261,299
3700,283.37,265,303
3800,286.96,268,306
3900,290.3,272,308
4000,293.68,276,312
4100,297.15,280,318
4200,300.4,282,322
4300,303.69,286,325
4400,307.2,290,328
4500,310.4,292,330
4600,313.41,295,334
4700,316.29,296,338
4800,319.37,301,343
4900,322.39,304,345
5000,325.47,305,347
5100,328.33,309,352
5200,331.02,311,354
5300,333.93,313,357
5400,336.82,315,361
5500,339.49,318,363
5600,342.24,323,365
5700,345.01,325,368
5800,347.71,326,372
5900,350.26,331,373
6000,352.5,334,373
6100,355.43,337,378
6200,358.26,338,382
6300,360.85,340,386
6400,363.38,342,387
6500,365.63,344,388
6600,368.14,347,393
6700,370.65,349,394
6800,373.03,350,395
6900,375.52,354,398
7000,377.59,356,399
7100,379.94,358,402
7200,382.36,360,402
7300,384.83,361,404
7400,387.34,364,408
7500,389.46,367,413
7600,392,369,416
7700,394.14,371,419
7800,396.23,374,421
7900,398.27,375,422
8000,400.35,378,425
8100,402.41,378,427
8200,404.35,379,430
8300,406.35,382,430
8400,408.49,384,433
8500,410.69,386,435
8600,412.81,389,437
8700,414.75,392,437
8800,416.58,392,438
8900,418.59,394,439
9000,420.53,396,443
9100,422.45,400,444
9200,424.24,400,447
9300,426.21,403,449
9400,428.06,406,450
9500,430.06,408,452
9600,431.95,410,453
9700,433.91,411,457
9800,435.96,412,458
9900,437.88,413,460
10000,439.85,416,463
10100,441.45,419,465
10200,443.23,421,465
10300,444.85,421,469
10400,446.61,422,471
10500,448.29,424,474
10600,450.22,426,479
10700,452.04,428,481
10800,454.04,429,482
10900,455.97,431,484
11000,457.89,433,486
11100,459.61,435,489
11200,461.41,437,490
11300,463.25,438,493
11400,465.08,441,494
11500,466.64,443,494
11600,468.02,443,494
11700,470.03,447,495
11800,471.67,449,498
11900,473.16,451,499
12000,474.75,452,502
12100,476.28,454,502
12200,477.95,455,502
12300,479.76,456,504
12400,481.34,458,506
12500,482.89,460,507
12600,484.35,463,508
12700,486.02,463,511
12800,487.7,464,514
12900,489.19,465,515
13000,490.92,467,518
13100,492.63,470,518
13200,494.02,470,521
13300,495.56,471,525
13400,497.08,475,525
13500,498.5,476,526
13600,499.89,479,527
13700,501.31,479,528
13800,502.87,481,530
13900,504.17,481,530
14000,505.55,482,530
14100,507.08,484,533
14200,508.47,486,534
14300,509.84,487,535
14400,511.38,489,536
14500,512.92,489,537
14600,514.29,490,538
14700,515.66,492,540
14800,517.19,494,542
14900,518.7,496,544
15000,520.05,498,545
15100,521.62,498,546
15200,523.08,500,547
15300,524.42,501,547
15400,525.94,502,548
15500,527.27,503,550
15600,528.61,504,551
15700,530.02,504,551
15800,531.37,506,554
15900,532.69,508,555
16000,534.08,511,559
16100,535.56,513,562
16200,536.87,515,564
16300,537.99,516,565
16400,539.25,519,566
16500,540.7,520,567
16600,542.03,521,569
16700,543.06,522,570
16800,544.39,524,570
16900,545.82,524,571
17000,547.05,525,571
17100,548.25,528,573
17200,549.44,529,574
17300,550.74,529,575
17400,552.05,531,577
17500,553.53,532,577
17600,554.57,532,579
17700,555.91,534,580
17800,557.07,535,582
17900,558.5,537,582
18000,559.6,539,584
18100,560.76,540,587
18200,562.15,541,588
18300,563.39,543,590
18400,564.81,545,592
18500,566.07,546,595
18600,567.26,547,597
18700,568.57,547,598
18800,569.67,547,599
18900,570.91,548,601
19000,571.96,550,602
19100,573.14,550,603
19200,574.36,551,603
19300,575.42,552,603
19400,576.63,553,603
19500,577.88,553,604
19600,579.09,555,606
19700,580.21,557,609
19800,581.27,557,609
19900,582.45,558,611
20000,583.68,561,612
20100,584.75,562,615
20200,585.86,562,615
20300,586.88,564,616
20400,587.96,565,618
20500,588.97,565,618
20600,590.24,566,620
20700,591.41,566,620
20800,592.5,567,621
20900,593.58,568,622
21000,594.87,570,624
21100,596,571,626
21200,597.09,572,627
21300,598.11,572,628
21400,599.09,572,629
21500,600.2,574,630
21600,601.33,575,632
21700,602.43,578,634
21800,603.64,580,635
21900,604.79,582,636
22000,605.87,583,639
22100,606.81,585,639
22200,607.88,585,640
22300,609.09,587,641
22400,610.32,587,642
22500,611.38,588,642
22600,612.43,588,643
22700,613.35,590,643
22800,614.56,590,643
22900,615.38,591,644
23000,616.48,591,645
23100,617.5,591,647
23200,618.66,593,648
23300,619.76,594,650
23400,620.79,595,650
23500,621.74,596,650
23600,622.9,598,650
23700,623.82,599,651
23800,625.02,600,651
23900,626.16,601,654
24000,627.17,602,655
24100,628.29,603,656
24200,629.5,605,656
24300,630.42,605,657
24400,631.4,605,657
24500,632.68,609,658
24600,633.36,609,659
24700,634.17,610,660
24800,635,612,660
24900,635.99,612,663
25000,636.94,615,664
25100,638.09,616,664
25200,639.2,616,664
25300,640.16,617,665
25400,641.05,617,666
25500,641.94,617,667
25600,642.97,619,669
25700,643.92,619,671
25800,644.88,622,672
25900,645.75,623,672
26000,646.83,623,672
26100,647.79,624,673
26200,648.83,624,674
26300,649.78,626,675
26400,650.76,627,675
26500,651.77,628,677
26600,652.81,629,679
26700,653.64,630,679
26800,654.42,632,679
26900,655.35,633,680
27000,656.22,633,681
27100,657.07,634,681
27200,657.9,635,684
27300,658.86,635,684
27400,659.83,635,685
27500,660.62,636,686
27600,661.5,637,687
27700,662.31,638,687
27800,663.16,638,688
27900,664.19,640,688
28000,664.92,640,690
28100,665.77,642,690
28200,666.67,642,691
28300,667.6,643,691
28400,668.55,643,693
28500,669.47,644,694
