numsampled,0.97,lci,hci
1,0,0,0
100,2.8765,2.4828,3.2555
200,3.1649,2.7939,3.4632
300,3.2912,2.999,3.5409
400,3.372,3.1573,3.5966
500,3.4213,3.2144,3.616
600,3.4609,3.257,3.6476
700,3.4914,3.3464,3.6914
800,3.5109,3.3223,3.6782
900,3.5332,3.3459,3.7063
1000,3.5497,3.3833,3.7019
1100,3.5653,3.417,3.7168
1200,3.5748,3.4286,3.7303
1300,3.5838,3.4376,3.7378
1400,3.592,3.461,3.7313
1500,3.6018,3.4682,3.7364
1600,3.6107,3.4994,3.7522
1700,3.6173,3.5119,3.7502
1800,3.625,3.5171,3.7566
1900,3.6299,3.5294,3.7558
2000,3.6351,3.5319,3.7535
2100,3.6395,3.5382,3.7576
2200,3.646,3.5495,3.7521
2300,3.6485,3.5523,3.7518
2400,3.6528,3.5513,3.7666
2500,3.6564,3.5542,3.7661
2600,3.6595,3.5674,3.7687
2700,3.6628,3.576,3.7627
2800,3.6677,3.5743,3.7704
2900,3.6702,3.575,3.7746
3000,3.6741,3.5824,3.7853
3100,3.6764,3.5948,3.7793
3200,3.6796,3.5947,3.7769
3300,3.6806,3.5967,3.7687
3400,3.6836,3.6099,3.7643
3500,3.6859,3.6131,3.7714
3600,3.6876,3.6122,3.7731
3700,3.6901,3.6087,3.7807
3800,3.6905,3.6086,3.7707
3900,3.6915,3.6123,3.7731
4000,3.6939,3.616,3.7839
4100,3.6956,3.6204,3.7792
4200,3.697,3.6171,3.7808
4300,3.6992,3.6172,3.789
4400,3.7009,3.6283,3.7918
4500,3.7019,3.6242,3.7817
4600,3.7032,3.633,3.7736
4700,3.7036,3.6321,3.777
4800,3.7045,3.6328,3.7777
4900,3.7057,3.6326,3.7705
5000,3.707,3.6354,3.7788
5100,3.7075,3.6384,3.7787
5200,3.7088,3.6411,3.7778
5300,3.7099,3.6387,3.7764
5400,3.7099,3.6436,3.7745
5500,3.711,3.6436,3.7678
5600,3.7119,3.6509,3.7708
5700,3.7133,3.6533,3.7755
5800,3.7148,3.655,3.778
5900,3.716,3.658,3.7799
6000,3.7171,3.6621,3.7787
6100,3.7181,3.6615,3.7769
6200,3.7186,3.6617,3.7776
6300,3.72,3.6605,3.7779
6400,3.72,3.6621,3.7848
6500,3.72,3.6599,3.7797
6600,3.7207,3.6591,3.775
6700,3.721,3.6597,3.7725
6800,3.7217,3.6629,3.7714
6900,3.7218,3.6597,3.7746
7000,3.7225,3.665,3.7759
7100,3.7233,3.6657,3.7752
7200,3.7238,3.6636,3.777
7300,3.7252,3.6696,3.7722
7400,3.7265,3.6665,3.7756
7500,3.7274,3.6723,3.7811
7600,3.728,3.6689,3.7805
7700,3.7286,3.6727,3.7775
7800,3.7289,3.6742,3.7779
7900,3.7293,3.6723,3.7799
8000,3.7302,3.674,3.7797
8100,3.7311,3.6756,3.7777
8200,3.732,3.681,3.7835
8300,3.7327,3.6809,3.7819
8400,3.733,3.6808,3.7807
8500,3.7345,3.6815,3.7812
8600,3.7354,3.6843,3.7862
8700,3.7362,3.6875,3.7791
8800,3.7363,3.6881,3.7849
8900,3.7371,3.6876,3.7846
9000,3.7375,3.6907,3.7855
9100,3.7379,3.6899,3.7879
9200,3.7383,3.6886,3.7876
9300,3.7389,3.689,3.7876
9400,3.7394,3.6915,3.7892
9500,3.7403,3.6931,3.7899
9600,3.7402,3.6946,3.7901
9700,3.741,3.6958,3.7929
9800,3.7416,3.6955,3.7931
9900,3.7423,3.6927,3.7921
10000,3.743,3.6949,3.7925
10100,3.7438,3.6977,3.7927
10200,3.7438,3.6978,3.7949
10300,3.7438,3.6969,3.7912
10400,3.7442,3.6936,3.7893
10500,3.7448,3.6997,3.7877
10600,3.7452,3.7011,3.7897
10700,3.7459,3.7031,3.7908
10800,3.7463,3.7046,3.7943
10900,3.7464,3.7027,3.7942
11000,3.7467,3.7034,3.7923
11100,3.7468,3.7006,3.7906
11200,3.7465,3.7035,3.7901
11300,3.7466,3.7053,3.7902
11400,3.7468,3.7058,3.7895
11500,3.7472,3.7032,3.7921
11600,3.7475,3.7056,3.7913
11700,3.7479,3.7045,3.7918
11800,3.7478,3.7045,3.7935
11900,3.7482,3.7063,3.7929
12000,3.7488,3.7079,3.7946
12100,3.7491,3.7067,3.7968
12200,3.7498,3.7077,3.7935
12300,3.7499,3.7073,3.7935
12400,3.7499,3.7089,3.7893
12500,3.7503,3.7098,3.7895
12600,3.7506,3.71,3.789
12700,3.7507,3.706,3.7875
12800,3.751,3.7045,3.7881
12900,3.7511,3.7052,3.7877
13000,3.7512,3.7048,3.7882
13100,3.7515,3.7058,3.7874
13200,3.7516,3.7062,3.7873
13300,3.7517,3.7062,3.7873
13400,3.752,3.7071,3.7855
13500,3.7521,3.7068,3.7858
13600,3.7525,3.7083,3.7857
13700,3.7526,3.7086,3.7858
13800,3.7526,3.71,3.7846
13900,3.7529,3.7115,3.7858
14000,3.753,3.71,3.7853
14100,3.7528,3.707,3.786
14200,3.7532,3.7074,3.7864
14300,3.7533,3.7098,3.7872
14400,3.7536,3.7121,3.7872
14500,3.7538,3.7126,3.7863
14600,3.7543,3.715,3.7857
14700,3.7546,3.7164,3.7872
14800,3.7545,3.7158,3.788
14900,3.7548,3.7185,3.7878
15000,3.755,3.719,3.7908
15100,3.7552,3.7161,3.7887
15200,3.7552,3.7165,3.791
15300,3.7553,3.7169,3.7917
15400,3.7554,3.7142,3.7904
15500,3.7559,3.7124,3.7906
15600,3.7562,3.715,3.7906
15700,3.7563,3.7156,3.7919
15800,3.7563,3.7176,3.7912
15900,3.7566,3.7168,3.7914
16000,3.7569,3.718,3.7913
16100,3.7569,3.7184,3.7898
